, SignalFeature1_D2, SignalFeature2_D2, SignalFeature3_D2, SignalFeature4_D2, SignalFeature5_D2, SignalFeature6_D2, SignalFeature7_D2, SignalFeature8_D2, SignalFeature9_D2, SignalFeature10_D2, SignalFeature11_D2, SignalFeature12_D2, SignalFeature13_D2, SignalFeature14_D2, SignalFeature15_D2, SignalFeature16_D2, SignalFeature17_D2, SignalFeature18_D2, SignalFeature19_D2, SignalFeature20_D2, SignalFeature21_D2, SignalFeature22_D2, SignalFeature23_D2, SignalFeature24_D2, SignalFeature25_D2, SignalFeature26_D2, SignalFeature27_D2, SignalFeature28_D2, SignalFeature29_D2, SignalFeature30_D2, SignalFeature31_D2, SignalFeature32_D2, SignalFeature33_D2, SignalFeature34_D2, SignalFeature35_D2, SignalFeature36_D2, SignalFeature37_D2, SignalFeature38_D2, SignalFeature39_D2, SignalFeature40_D2, SignalFeature41_D2, SignalFeature42_D2, SignalFeature43_D2, SignalFeature44_D2, SignalFeature45_D2, SignalFeature46_D2, SignalFeature47_D2, SignalFeature48_D2, SignalFeature49_D2, SignalFeature50_D2, SignalFeature51_D2, SignalFeature52_D2, SignalFeature53_D2, SignalFeature54_D2, SignalFeature55_D2, SignalFeature56_D2, SignalFeature57_D2, SignalFeature58_D2, SignalFeature59_D2, SignalFeature60_D2, SignalFeature61_D2, SignalFeature62_D2, SignalFeature63_D2, SignalFeature64_D2, SignalFeature65_D2, SignalFeature66_D2, SignalFeature67_D2, SignalFeature68_D2, SignalFeature69_D2, SignalFeature70_D2, SignalFeature71_D2, SignalFeature72_D2, SignalFeature73_D2, SignalFeature74_D2, SignalFeature75_D2, SignalFeature76_D2, SignalFeature77_D2, SignalFeature78_D2, SignalFeature79_D2, SignalFeature80_D2, SignalFeature81_D2, SignalFeature82_D2, SignalFeature83_D2, SignalFeature84_D2, SignalFeature85_D2, SignalFeature86_D2, SignalFeature87_D2, SignalFeature88_D2, SignalFeature89_D2, SignalFeature90_D2, SignalFeature91_D2, SignalFeature92_D2, SignalFeature93_D2, SignalFeature94_D2, SignalFeature95_D2, SignalFeature96_D2, SignalFeature97_D2, SignalFeature98_D2, SignalFeature99_D2, SignalFeature100_D2, NoiseFeature1_D2, NoiseFeature2_D2, NoiseFeature3_D2, NoiseFeature4_D2, NoiseFeature5_D2, NoiseFeature6_D2, NoiseFeature7_D2, NoiseFeature8_D2, NoiseFeature9_D2, NoiseFeature10_D2, NoiseFeature11_D2, NoiseFeature12_D2, NoiseFeature13_D2, NoiseFeature14_D2, NoiseFeature15_D2, NoiseFeature16_D2, NoiseFeature17_D2, NoiseFeature18_D2, NoiseFeature19_D2, NoiseFeature20_D2, NoiseFeature21_D2, NoiseFeature22_D2, NoiseFeature23_D2, NoiseFeature24_D2, NoiseFeature25_D2, NoiseFeature26_D2, NoiseFeature27_D2, NoiseFeature28_D2, NoiseFeature29_D2, NoiseFeature30_D2, NoiseFeature31_D2, NoiseFeature32_D2, NoiseFeature33_D2, NoiseFeature34_D2, NoiseFeature35_D2, NoiseFeature36_D2, NoiseFeature37_D2, NoiseFeature38_D2, NoiseFeature39_D2, NoiseFeature40_D2, NoiseFeature41_D2, NoiseFeature42_D2, NoiseFeature43_D2, NoiseFeature44_D2, NoiseFeature45_D2, NoiseFeature46_D2, NoiseFeature47_D2, NoiseFeature48_D2, NoiseFeature49_D2, NoiseFeature50_D2
DataItem1, -0.40956, -0.60705, -0.48406, -1.9963, -0.70591, 1.3997, -0.4126, -1.2628, -0.95454, -0.40217, -2.1019, -2.4358, 0.044874, -0.7449, -1.59, -1.1388, -1.5988, -2.4923, -0.32051, -2.5143, -1.5455, -0.95591, -0.30582, -0.24349, -0.57524, -0.16343, -0.6375, -2.2909, 0.19743, -0.54329, 0.49601, -0.26684, 0.84091, -0.65789, -1.3528, 0.98535, -2.0983, -2.1074, -1.6944, -0.36503, -1.2145, -2.2365, -1.0909, 0.519, -1.9429, -1.5668, 0.16953, -0.9832, -0.1952, -0.99204, -1.0566, -0.23421, -2.5239, -1.2703, -1.3901, -1.7302, 1.2804, -1.6122, -1.6445, 0.61109, -0.67156, -1.4268, -2.4732, 0.80613, -0.058853, -0.51332, 1.2023, -0.39752, -1.7013, -0.35094, 0.4903, -0.32808, -1.0308, -0.30277, 0.26011, -1.4272, -1.8246, -0.54292, 0.093027, -2.0361, 0.93083, -2.8828, -0.35461, 0.84996, -0.50125, -1.0912, -1.1888, -1.6683, -1.3285, 0.028689, -2.2804, -3.0015, -2.0399, -1.8264, -2.4612, -0.25548, -1.0855, -0.32075, -0.022105, -0.31675, 2.0818, -0.28691, -0.41148, 2.6439, -0.19592, -1.6284, 0.81491, -1.065, 1.114, 0.55654, 0.83911, -1.0547, -0.29489, 0.73053, -0.45067, -0.21654, -0.58327, -0.92295, -1.483, -0.86063, 0.84684, -0.11867, 0.2148, -0.27266, 0.5411, -1.1792, -0.99699, 0.80882, 0.73987, 0.19945, -1.1889, -0.20731, 0.77639, -0.35336, -1.0215, -2.145, -0.16287, 0.49568, 0.024609, -3.5032, 0.20614, -1.5997, 1.1183, -0.81708, -0.03539, 1.8488, 0.96271, 0.448, -0.059446, -0.12107
DataItem2, -2.977, 0.10027, -1.151, -0.98367, -2.8762, -2.2625, -0.24612, -1.7614, -2.3788, -1.7884, -0.43099, -0.094338, -1.8143, -2.5466, 0.1867, 0.12755, 0.064688, -1.1901, -0.4484, -1.199, -0.54211, -1.0604, -1.5655, -1.075, -1.0318, -0.4377, -0.97679, -0.93679, 0.27474, -1.3556, -1.3959, 0.98202, -1.9737, -0.96598, 0.75011, -0.073326, -0.59221, -1.4564, -1.9343, -2.9543, -1.3888, 0.59403, -1.3386, -2.1944, -3.243, -1.0471, -0.75945, -1.4602, -1.3757, -0.14462, -0.81887, -1.5141, 0.59652, -1.8821, 0.58338, -1.2451, -0.40407, -1.0458, -2.8986, 0.1176, -0.96479, -3.1867, -1.5444, -0.93177, 1.0532, -1.7575, 0.41883, -1.0526, -1.0868, -1.5349, -0.6689, -2.9387, -1.7755, -2.8937, -1.0958, -2.208, -2.2309, 0.80481, -1.4858, -1.0507, -0.55297, -0.65585, -1.0883, -2.1501, -0.28175, -2.1689, -1.8321, -0.96687, -0.72378, -1.0438, -1.2109, -0.91932, -3.5741, -0.52223, -2.4699, 0.20344, 0.077379, -1.5312, -1.5535, -0.085546, -0.46199, 1.3738, -1.6418, 0.07274, -0.49966, 0.46068, -0.46373, 1.3758, 0.06132, 2.1073, -0.78923, 0.24808, -0.16129, -0.16044, 0.2956, 0.38542, 0.018338, -0.85793, -1.1946, -0.028035, 0.30599, -0.7532, -0.65249, -0.32276, 2.8033, 1.4708, -1.6594, 0.046649, 1.3187, 0.1888, -0.72856, 0.87249, 0.77219, 0.27285, 0.55686, 0.59589, -0.18656, -0.90513, 1.2038, 1.1788, 1.0023, 0.16319, -1.8169, -1.2471, 0.68572, -0.99459, -1.5093, -0.81092, -0.056884, -0.47796
DataItem3, -1.6021, 0.91364, -2.4263, -3.3797, -3.2351, -2.6008, -1.6751, -2.6901, -3.271, -0.29988, -1.9018, -1.2094, -0.17559, -2.0886, -1.5235, -1.8452, -1.8132, -2.0978, -1.0906, -3.0812, -2.1269, -2.596, -1.627, -2.8383, -3.1025, -4.1978, -0.44144, -2.0139, -2.1762, -1.8911, -0.63852, -2.4187, -1.9713, -3.0708, -2.1854, -0.52427, -3.4225, 0.58079, -3.6949, -1.0768, -1.9615, -1.8949, -2.3941, -0.62084, -1.6628, -1.4553, -4.3588, -2.7089, -1.4389, -1.2055, -1.6323, -3.6352, -0.97552, -2.554, -0.84063, -2.5548, -2.2201, -1.3535, -0.53344, -1.1452, -2.6187, -4.1767, -1.0373, -0.91934, -1.2432, -2.8175, -1.8061, -1.5223, -2.5826, -1.364, -0.31687, -0.03965, -2.4009, -1.9631, -0.80389, -2.3328, -2.9527, -1.4381, -2.8972, -0.087432, -1.6865, -2.5717, 0.26742, -0.30413, -4.5153, -1.9483, 0.28262, -3.7357, -1.6948, -1.5063, -1.117, -2.4951, -0.21093, -2.7039, -2.4341, -2.6411, -1.8672, -3.0847, -3.7686, -2.3395, -0.088693, -0.063096, -0.88994, 0.98305, -0.10458, 0.50425, -1.0192, 0.035782, -0.11733, 0.58038, -2.0563, 1.7431, 2.2373, 0.56642, -1.4138, -0.6725, 0.43591, 0.4004, -0.46763, 0.46766, -0.3431, 0.0097536, 1.6336, -0.15023, -0.97657, -1.4476, 1.0316, 0.77064, -0.10607, 0.9838, 0.93378, 1.0037, -0.14523, 0.71782, 0.54896, 1.4039, -1.6676, -1.3442, -0.94432, 0.82688, -0.85007, 0.49964, 0.41762, 0.89215, -1.5663, 1.825, 0.69973, 0.077954, 1.4068, -1.6815
DataItem4, -1.818, -2.4147, -1.2651, -2.4429, -2.3189, -1.3623, -3.2669, -3.0892, -1.523, -2.6646, -4.7808, 1.5166, -2.8228, -2.0724, -1.3325, -0.94035, -3.0145, -1.3783, -3.8402, -0.60659, -2.9469, -2.3507, -3.1602, -1.2988, -4.0899, -1.0948, -0.714, -3.7459, -2.2317, -1.0899, -2.6918, -2.3951, -3.4861, -1.2018, -0.305, -1.1194, -1.3111, -2.0684, -4.102, -2.9057, -2.0872, 0.40514, -1.1828, -3.2419, -2.2658, -1.0426, -1.2362, -2.5754, -2.8063, -4.0237, -3.617, -2.8993, -1.9314, -3.1896, -1.5199, -2.8161, -2.3872, -0.20758, -2.092, -1.5672, -1.5718, -3.0621, -1.5626, -1.7709, -3.6749, -2.1533, -2.8791, -2.9553, -0.69637, -4.1455, -1.1648, -3.4075, -1.8057, -1.9804, -2.2596, -1.7668, -2.3257, -3.7641, -1.6694, -3.0863, -0.74822, -1.6645, -2.3301, -1.3685, -2.6699, -3.0903, -2.1615, 0.034957, -1.3293, -0.84146, -1.0113, -2.6203, -2.2373, -1.9145, 1.0529, -2.1253, -2.5545, -1.7796, -2.0028, -1.6739, 0.55595, 0.65646, -1.3728, -0.95897, -0.66954, -0.39099, 0.59985, 0.74917, -0.98202, -0.9727, 0.4371, 0.51309, -0.33124, -1.2455, 0.41942, 0.24092, -0.11262, 2.0542, 0.14392, 0.0089992, -0.069716, 0.87798, 0.48959, 1.1929, -0.45604, -0.86687, 0.35544, 1.4709, 1.3708, 0.23951, 0.52357, 0.81448, 0.65308, -0.46214, -3.1012, 0.66953, -0.044719, 0.022301, 1.6043, -0.44665, 1.2707, -1.911, -1.3557, 1.4296, -0.74833, 0.96237, -0.59427, 0.14562, 1.0889, -0.042427
DataItem5, -1.5819, -0.62858, -1.9918, -3.1718, -1.4471, -0.93307, -1.6681, -3.2764, -3.0785, -2.8119, -0.75158, -2.1175, -1.1788, -2.1598, -0.99914, -1.9213, -1.3753, -0.30308, -1.6378, -3.4639, -2.1106, -3.6302, -0.78595, -2.5426, -4.1538, -0.71473, -2.9229, -0.92165, -1.7543, -1.9193, -0.79105, -2.1406, -2.5517, -1.1307, -1.2051, -4.1314, -1.0369, -2.5106, -1.7105, -3.0594, -2.1535, -1.5694, -0.61288, -5.0675, -2.6893, -1.5927, -1.8749, -2.2639, -1.3259, -1.6063, -2.5892, -1.1848, -2.1237, -1.5432, -0.57217, -2.9358, -0.80155, -2.9397, -1.8281, 0.46797, -5.4548, -0.43955, -1.134, -1.2003, -2.2342, -3.0271, -2.9397, -1.6928, -1.7061, 0.013957, -3.1847, -1.5077, -1.8628, -1.0221, -2.5206, -2.0976, 0.061264, -1.7182, -2.3088, -2.5387, -1.1208, -2.1427, -3.3063, -1.7073, 0.45472, -2.344, -2.7447, -2.7734, -1.6252, -3.0029, -2.3866, -2.9994, -3.3013, -0.66225, -1.6107, -3.163, -2.7146, -2.932, -4.4072, -2.4049, -0.22716, -0.19645, -0.56365, 0.54526, -0.074692, 0.3508, -0.23916, -0.020231, 0.55687, -0.56431, 2.5389, -1.3804, 1.1247, 0.37846, -0.33934, -0.7794, 0.57203, -0.87415, 0.11795, 0.21653, -0.8254, -0.055538, 2.2962, 1.3553, 1.3953, -0.66847, 0.34938, 0.43066, -0.073341, -1.0447, 1.4562, -0.52867, -0.16346, 0.17089, -0.65095, 1.0536, -0.88388, 1.0099, 0.11496, -0.64612, 1.6001, -0.67206, -1.2623, 0.74612, -0.61291, -0.95464, 0.52308, -0.088941, -1.8011, 1.6095
DataItem6, 1.5633, -0.41595, 1.7838, 3.0946, 1.4515, 1.067, -1.057, 0.12235, -0.026393, -0.31292, 1.349, 0.12248, 2.237, 0.72619, 1.5352, -0.76671, 1.9122, 1.2936, 0.23666, 3.9859, 0.80142, -0.48011, 2.0098, 0.61145, -0.61256, 0.50241, 0.36479, -0.75952, 0.67275, 0.81924, 1.37, 1.6308, 0.044161, 0.68267, 0.87826, 1.2774, 1.6753, -0.48749, 0.81381, 1.8205, 0.3906, 0.92518, 2.4918, 1.4978, -0.70737, 0.20518, -0.061571, 0.38658, 2.5009, 0.8025, 1.7472, -0.11699, 0.57839, -0.046046, 0.21801, 0.74483, 0.74215, -0.51853, 0.23312, 0.099453, 1.1586, 1.881, 1.2051, 0.46111, -0.060872, -0.015674, 1.4965, -0.49658, 1.4161, 3.1312, 0.092297, -0.35575, 0.42382, 1.9712, 0.47671, 0.46518, 1.1971, -0.25287, 1.4391, 1.5469, 1.7922, 2.8967, 0.61513, 2.1372, 0.45642, 1.8663, -0.73085, 0.8554, 0.39719, -0.051374, 3.3165, -0.35141, 1.0193, 0.046777, -0.30386, 1.1565, 0.32825, 0.77369, 3.2308, 0.45929, 0.067368, 0.49827, -1.7182, 0.3452, 1.3169, -1.321, -0.50014, -1.3736, 0.16312, -0.43523, 1.2854, -0.11957, -0.87158, -0.27519, -0.79599, 0.79476, 0.43902, -1.1379, -0.029394, -0.72086, 0.28884, 0.44972, -0.5728, -0.45279, 0.027794, 0.9424, -0.79105, -1.3275, -0.51389, 0.10463, -0.50114, -0.6991, 0.88193, 2.0255, -0.077354, -0.57348, 0.43904, 1.2592, 0.36001, 0.98577, -0.19404, -0.65511, 0.39523, 0.03751, 0.4523, 1.0443, -0.71002, 1.7103, 1.0749, 0.25327
DataItem7, 1.4215, 0.16794, -1.3355, -0.27983, -1.3354, -0.63143, -0.099913, -1.0515, -0.63657, -2.1562, -1.9998, -0.69302, -1.2793, -0.42025, -2.0106, -0.78465, -1.4935, -0.29541, -0.64433, -3.6839, -0.92721, -1.1524, 0.3282, -0.98942, -1.1825, -1.1235, -1.8304, 0.14643, 0.79407, -1.511, 1.0571, -1.4322, 0.75187, 0.37759, -1.385, 2.3723, -0.36281, -1.7824, -0.31494, 0.56012, -0.029555, -1.4064, -1.6012, -0.25821, -0.5233, -1.0851, -1.2733, -0.84164, 0.93014, -0.081095, -0.51298, 0.085899, -0.99128, -3.6626, -1.098, -1.447, -1.3056, 0.20311, -0.99778, -0.31415, -1.4207, 0.053592, -1.0064, -1.1737, -2.1411, 0.32826, -1.7474, -1.0562, -0.45162, -1.61, -0.90759, -1.3911, -0.61406, 0.30772, -1.8182, -1.38, -0.10664, -2.1314, -0.29779, -0.052694, -1.4641, -0.091758, -1.5942, -0.65776, -2.1022, -2.4988, -3.4308, -1.602, -1.4613, -2.5388, -0.75027, -2.3192, -2.4954, -1.2053, 0.79233, -1.238, -0.99583, 0.21659, -0.99245, -0.41041, -1.0907, -0.82745, 0.53223, -0.79759, 0.015097, 0.30947, -0.28224, -0.67269, 2.3717, -1.4825, 2.4307, 0.7788, -0.2065, -0.2035, -1.5121, -0.38786, 0.48713, 0.43263, 1.1473, -1.1052, -3.0148, -0.97606, 1.4338, 0.65201, 0.42249, -0.60181, -0.50222, -0.34845, 0.24272, -0.45957, -1.5424, -1.2972, -0.92737, 0.18869, 1.7975, -1.5952, -1.0544, -0.35299, 1.015, 1.5613, -0.40107, -1.3982, 0.078808, 1.9215, 0.52329, 2.7548, -1.2105, -1.1014, 1.3559, 0.40563
DataItem8, 3.368, 0.87338, 0.21049, 0.1864, 2.9101, -0.15802, 1.6338, -0.14954, -0.18103, 2.4296, -0.81259, 1.246, 1.5173, 1.3215, 0.60251, -0.15886, 0.79421, 0.97522, 1.013, 1.0437, -1.8907, 1.9321, -0.43405, 0.74393, 1.6358, 1.4501, -0.12275, 0.20822, 0.672, -0.12156, 1.5723, 2.1477, 1.2754, 2.5009, 1.2203, 1.5299, 1.5126, 1.3542, 0.58134, 0.52701, 1.096, -0.22557, 2.5303, 1.2653, -0.033891, 0.2265, 1.2731, 0.12207, 0.17371, 1.9583, 2.541, -1.1276, 2.7925, 0.83826, -0.89719, 0.58614, 2.3339, 2.6038, 1.7691, 1.2249, 1.3739, 1.5819, 1.4771, 1.1831, 1.9006, -0.68323, 0.77771, 0.16152, 1.9035, -0.66213, 0.66666, 0.78326, 1.2765, 0.64722, 1.4235, 0.23152, -0.019323, 1.6867, 2.925, -0.37973, 0.83245, 1.2364, 2.5956, 0.65679, 2.6602, 0.50527, 1.6229, 1.6304, -1.052, -0.64267, -0.075833, 1.8865, 2.3497, -0.18626, 2.5246, 2.3133, 0.66253, 1.6494, 1.8796, -0.41035, 1.9125, 0.47434, 0.87511, -0.40378, -0.26679, -1.7855, -0.35073, -1.2551, -0.98649, 0.51211, 0.065476, -0.8974, -0.32268, 1.3526, 0.29191, -1.0369, 0.79092, 0.63498, -1.3281, -1.1198, 0.17488, 0.95926, 0.67779, 1.2985, -0.66738, -1.7013, 0.2641, -0.89496, 0.014359, 0.18895, -0.26568, -1.8218, 1.5659, 0.67098, -1.5138, 0.71146, -1.4053, -0.71161, 0.15541, 0.060472, 1.8635, 0.30437, -0.22414, -0.11851, 1.0966, -2.1115, 1.1161, -0.0051704, -0.83732, -0.65427
DataItem9, -0.79498, 0.2741, 0.13763, -0.89176, 2.8386, -0.77625, -0.077861, 1.7572, 0.60694, 1.2129, 1.5344, 0.89675, 1.8381, 1.4581, 1.3898, -0.85858, 1.9368, 1.0778, 0.80693, 2.1051, -0.057881, 0.92852, 1.0674, 2.7643, -1.5944, 0.21471, 1.1663, 1.1658, 0.41927, 1.2517, 1.5212, 0.24673, 2.1355, 3.1684, -0.10989, 2.1342, -0.67603, 0.97806, -0.048632, 0.82967, -0.029567, 0.95712, -0.63199, 2.0867, 1.2605, -0.10894, 1.5117, 0.67411, 1.5043, 0.27017, -0.20141, 1.6444, 1.2986, -0.016918, 0.75176, 0.80086, 1.4829, 0.86012, 0.63039, 0.43264, 0.76122, -1.032, 0.18847, 1.2211, 1.3484, 0.25196, 1.4604, 1.5154, 0.077074, 0.68262, 1.4765, 0.90749, 1.1768, 1.2347, 0.86862, 2.0006, 2.6543, 1.0621, 2.0753, 2.9667, -0.84516, 1.1705, 1.0379, 0.69731, 1.1743, 1.2026, -0.27454, 1.0542, -0.98798, 1.5004, 2.3739, 1.6835, 0.95344, 1.8078, 1.0414, -1.5556, 2.6432, 1.7863, 0.16694, 1.0104, 1.2334, 0.709, 0.091742, 0.77188, 0.68942, 0.74559, -0.40376, -0.44772, 0.71699, 1.7498, -0.92186, -0.5312, -1.7807, 1.3351, 0.24408, 0.12197, -1.8829, 0.56614, 0.7981, -0.28838, -3.1534, 0.94664, -0.24482, 0.20933, 0.53288, 0.018195, 1.4777, -1.7961, 0.92973, -1.1124, -0.52158, 1.4498, 1.3767, -0.40484, -0.16682, 0.35793, 2.7557, 2.6392, -0.018995, 0.034397, -0.48918, 0.79268, 2.4221, 0.90571, 0.33335, -1.2094, 0.21509, -1.4072, -0.8225, 1.2515
DataItem10, -2.7839, -0.025026, -1.7282, -1.795, -2.1017, -0.88597, -0.78621, -2.4099, -1.1401, 0.58232, -1.0373, -0.23526, 0.031994, -3.4982, -2.161, -2.7654, -0.18484, -1.7541, 0.00049258, -2.3775, -3.5731, -2.0519, -1.6512, -1.8527, 0.62887, -1.3889, -2.7757, -0.69488, -2.4496, -1.2741, -1.2976, 0.21376, -1.2387, -1.6172, -1.2282, -0.009737, -1.5795, -1.0342, -0.98976, -1.1696, -1.7679, 0.20439, 0.75345, -3.0178, -1.79, -0.81056, -1.1466, -1.04, 0.11809, -0.31859, -1.7363, -2.8258, -0.30791, -1.196, -0.17568, -1.1193, -1.261, -0.31014, -1.2763, -1.1272, -0.43414, -2.7328, -0.9446, -1.4956, -1.0892, -1.5186, 0.23473, -0.50488, -1.4953, 1.4676, -0.65777, -0.76459, -3.0364, -1.6476, 0.043122, -2.4141, -2.0168, -2.2664, -1.3952, 0.18136, 0.60723, -1.3668, -0.75511, 0.29956, -2.435, 0.073138, -0.90848, -1.7004, -0.082566, -0.83669, -1.4612, -0.9464, -2.0949, -0.50647, -0.89168, -3.1056, 0.90853, -0.81088, -1.3836, -1.6508, -0.53608, 0.48766, 1.4891, -1.9006, -0.86997, -0.29168, -0.60326, -0.34458, 1.6696, -1.0817, -1.2725, -0.9553, -1.3064, 0.6005, -1.7585, -1.1201, -1.9461, 1.0193, -0.3523, 0.13651, 0.40274, 0.39476, -0.89359, -0.54599, 0.6923, -1.2246, 0.26239, -0.64459, 0.039045, -0.28611, 0.6446, 0.42007, 2.0565, -0.93036, 0.16312, 0.25196, 1.5407, 0.4191, -1.5374, 0.041573, 0.0058868, 1.7493, -0.46621, 0.29803, 0.92688, 0.76846, 0.15052, -0.73712, 0.47924, -0.34819
