,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
YER170W,-0.243396389,-0.219298837,0.715860379,0.473848343,-0.065148157,-0.346050543,-0.430607931,-0.738092631,-0.522981251,-0.065148157,0.542841215,0.687422444,0.399740371,0.153905409,-0.085767445,-0.106820854,-0.150305966
YNL102W,-0.365656914,0.043169542,1.05049041,0.804414339,0.132973437,-0.198602829,-0.643288651,-1.009533046,-0.494868645,0.139089664,0.804414339,0.580486781,0.414501644,0.114397051,-0.260296398,-0.756084145,-0.355606578
YAR007C,-0.467291629,-0.006396716,1.036209897,0.317390361,-0.249342894,-0.509625993,-0.416775839,-0.667386785,-0.431664451,0.523846994,0.658579588,0.592583422,0.405583073,0.231023522,-0.261921676,-0.509625993,-0.245184884
YBR088C,-0.357777156,0.062581844,0.79202124,0.489979946,0.193072716,-0.321466932,-0.480798971,-0.690398297,-0.736277903,0.565562627,0.681214829,0.59699199,0.19584921,-0.054937235,-0.108608652,-0.546550348,-0.280458909
YDL164C,-0.459219026,0.040433297,0.871141661,0.380110664,-0.247248776,-0.345559708,-0.459219026,-0.687002957,-0.436334733,0.606449107,0.772152752,0.447769313,0.149438847,0.200983998,-0.236075475,-0.358033882,-0.239786055
YKL113C,-0.674573113,0.055131663,1.003715817,0.798289265,0.33120819,-0.279803294,-0.568680824,-0.72362927,-0.385562137,0.460596772,0.529931465,0.710390576,0.350476609,-0.079132598,-0.389554158,-0.648324887,-0.490480076
YNL312W,-0.227442018,0.046852974,0.791226061,0.54574787,0.190941649,-0.168905515,-0.5104071,-0.721854612,-0.482563074,0.244333091,0.5200523,0.597572938,0.168521831,-0.002881032,-0.238137307,-0.326126679,-0.426931378
YDR097C,-0.409835071,-0.27723695,0.978323224,0.56725586,0.151910643,-0.177776156,-0.409835071,-0.625543644,-0.55408468,0.369078931,0.794883724,0.776824542,0.241401214,0.044183263,-0.310462597,-0.785886294,-0.373200938
YOL090W,-0.30063406,-0.041122865,0.494534735,0.240828533,-0.018523033,-0.410118293,-0.338374388,-0.684120261,-0.377595101,0.141198692,0.800444321,0.734262414,0.311544058,0.303479498,0.035838177,-0.641560647,-0.250081781
YDR507C,-0.779335535,-0.209532902,0.633896482,0.305530833,0.279828483,0.088710959,-0.407418975,-0.524613949,-0.391082556,0.208720104,0.676975064,0.603540019,0.069910694,0.169855109,-0.188519712,-0.470546727,-0.06591739
YFL008W,-0.383178955,0.097635591,0.757992949,0.513795988,0.007687354,-0.391912634,-0.365937148,-0.474150733,-0.374520892,0.223747051,0.568982404,0.356685851,0.233181083,0.08137507,-0.18646866,-0.34898759,-0.315926728
YIL026C,-0.067437596,0.182420168,0.968090717,0.462419744,0.235412698,0.248233386,-0.330675605,-0.656972513,-0.641347195,0.100959221,0.492801828,0.464987139,0.232181677,0.040103945,-0.451303592,-0.782660728,-0.497213294
YJL074C,-0.467964515,0.016090868,0.803490587,0.413773836,-0.218748723,-0.01941582,-0.588108826,-0.588108826,-0.218748723,0.176864089,0.844947301,0.870011269,0.357534117,-0.094451006,-0.081547601,-0.774694782,-0.430923243
YJL187C,-0.707752726,-0.183897602,0.861546019,0.738201472,0.401729235,0.048907861,-0.318816919,-0.501138476,-0.599118885,0.205253931,0.610719039,0.575000957,0.299367223,-0.022836044,-0.203506073,-0.528167149,-0.675491863
YLR103C,-0.494779509,0.239189666,1.14025395,0.626717073,0.338532109,-0.083160536,-0.286561608,-0.807462884,-0.607367728,0.430727878,0.6053748,0.549937011,0.184381429,-0.286561608,-0.290328091,-0.677101066,-0.581790886
