, SignalFeature1_D2, SignalFeature2_D2, SignalFeature3_D2, SignalFeature4_D2, SignalFeature5_D2, SignalFeature6_D2, SignalFeature7_D2, SignalFeature8_D2, SignalFeature9_D2, SignalFeature10_D2, SignalFeature11_D2, SignalFeature12_D2, SignalFeature13_D2, SignalFeature14_D2, SignalFeature15_D2, SignalFeature16_D2, SignalFeature17_D2, SignalFeature18_D2, SignalFeature19_D2, SignalFeature20_D2, SignalFeature21_D2, SignalFeature22_D2, SignalFeature23_D2, SignalFeature24_D2, SignalFeature25_D2, SignalFeature26_D2, SignalFeature27_D2, SignalFeature28_D2, SignalFeature29_D2, SignalFeature30_D2, SignalFeature31_D2, SignalFeature32_D2, SignalFeature33_D2, SignalFeature34_D2, SignalFeature35_D2, SignalFeature36_D2, SignalFeature37_D2, SignalFeature38_D2, SignalFeature39_D2, SignalFeature40_D2, SignalFeature41_D2, SignalFeature42_D2, SignalFeature43_D2, SignalFeature44_D2, SignalFeature45_D2, SignalFeature46_D2, SignalFeature47_D2, SignalFeature48_D2, SignalFeature49_D2, SignalFeature50_D2, SignalFeature51_D2, SignalFeature52_D2, SignalFeature53_D2, SignalFeature54_D2, SignalFeature55_D2, SignalFeature56_D2, SignalFeature57_D2, SignalFeature58_D2, SignalFeature59_D2, SignalFeature60_D2, SignalFeature61_D2, SignalFeature62_D2, SignalFeature63_D2, SignalFeature64_D2, SignalFeature65_D2, SignalFeature66_D2, SignalFeature67_D2, SignalFeature68_D2, SignalFeature69_D2, SignalFeature70_D2, SignalFeature71_D2, SignalFeature72_D2, SignalFeature73_D2, SignalFeature74_D2, SignalFeature75_D2, SignalFeature76_D2, SignalFeature77_D2, SignalFeature78_D2, SignalFeature79_D2, SignalFeature80_D2, SignalFeature81_D2, SignalFeature82_D2, SignalFeature83_D2, SignalFeature84_D2, SignalFeature85_D2, SignalFeature86_D2, SignalFeature87_D2, SignalFeature88_D2, SignalFeature89_D2, SignalFeature90_D2, SignalFeature91_D2, SignalFeature92_D2, SignalFeature93_D2, SignalFeature94_D2, SignalFeature95_D2, SignalFeature96_D2, SignalFeature97_D2, SignalFeature98_D2, SignalFeature99_D2, SignalFeature100_D2, NoiseFeature1_D2, NoiseFeature2_D2, NoiseFeature3_D2, NoiseFeature4_D2, NoiseFeature5_D2, NoiseFeature6_D2, NoiseFeature7_D2, NoiseFeature8_D2, NoiseFeature9_D2, NoiseFeature10_D2, NoiseFeature11_D2, NoiseFeature12_D2, NoiseFeature13_D2, NoiseFeature14_D2, NoiseFeature15_D2, NoiseFeature16_D2, NoiseFeature17_D2, NoiseFeature18_D2, NoiseFeature19_D2, NoiseFeature20_D2, NoiseFeature21_D2, NoiseFeature22_D2, NoiseFeature23_D2, NoiseFeature24_D2, NoiseFeature25_D2, NoiseFeature26_D2, NoiseFeature27_D2, NoiseFeature28_D2, NoiseFeature29_D2, NoiseFeature30_D2, NoiseFeature31_D2, NoiseFeature32_D2, NoiseFeature33_D2, NoiseFeature34_D2, NoiseFeature35_D2, NoiseFeature36_D2, NoiseFeature37_D2, NoiseFeature38_D2, NoiseFeature39_D2, NoiseFeature40_D2, NoiseFeature41_D2, NoiseFeature42_D2, NoiseFeature43_D2, NoiseFeature44_D2, NoiseFeature45_D2, NoiseFeature46_D2, NoiseFeature47_D2, NoiseFeature48_D2, NoiseFeature49_D2, NoiseFeature50_D2
DataItem1, 0.50699, -0.18345, -0.28906, 0.13455, -1.1724, -2.2724, -0.47675, 1.4159, 0.64146, 1.7383, -0.63582, -0.61261, -0.33429, -1.0597, 0.64941, 0.62381, -0.0082622, -1.3874, -0.48331, -1.4969, -0.66001, 0.79425, -0.78645, -1.431, -0.67096, -1.1643, -0.10736, 1.7794, -2.3348, 0.72974, 0.39304, -0.5502, 1.0287, 0.70553, -1.4632, -0.98643, -0.96738, -1.0648, 0.74255, -0.429, -0.77105, 0.24732, 0.68825, 0.4514, 0.29896, -1.0793, 0.60448, -0.16449, 0.82715, -1.0768, 0.64053, -0.073494, -0.77445, 0.36018, 0.66203, 0.19218, -0.097784, -0.85552, 0.01777, -0.54086, 0.56961, 0.34402, -0.42028, 0.24202, 0.69445, -0.59357, 0.83979, 1.729, -1.369, 0.16752, 1.1158, 0.42857, 0.0081802, -0.54192, 0.23652, -1.136, 0.57749, 1.1651, 0.020659, 0.13497, 0.14375, 0.10577, 0.95723, 0.1226, -0.8966, 1.9442, 0.029693, -0.05373, -1.1111, -2.65, -0.42706, 0.20607, 0.35407, 0.30496, -0.26264, 0.58829, -1.5093, 1.3562, 0.47128, 0.77344, 1.5622, -0.089259, -0.81374, -1.5368, -0.84934, -0.50718, 0.099669, 0.031816, 0.48388, -0.0035322, -0.45993, -0.94984, -1.2983, 0.47023, -0.045088, 1.0113, -0.71414, 1.5974, 0.038415, 0.46714, 0.051669, -1.1359, -1.9005, -0.47325, 0.23368, 1.0063, 0.18219, 0.05178, -0.33757, 0.61531, 0.66926, -0.76821, -1.0582, 1.2677, -2.0699, -0.28396, 0.88668, -0.54424, 0.029178, -1.0798, -0.63034, 0.18139, -1.5688, 2.7962, -1.3656, -0.30845, -0.30826, 0.8181, 0.066275, -1.7598
DataItem2, -1.2991, 1.2651, 0.26459, 0.10096, -0.6583, 1.4147, -0.86942, 1.6628, 1.421, 0.68401, 0.21727, -0.42954, -1.3098, -0.6476, 1.7572, 0.97996, 0.12173, 0.6695, -0.27479, -0.1801, -1.0726, -0.92638, -0.52738, 0.067727, 2.1819, -0.98242, 0.40135, -0.55877, 1.5306, 1.0555, -0.36082, -0.63818, -0.055255, 1.0861, 0.36935, 2.3351, -1.8609, 0.0085616, 0.78745, 0.71042, 0.12705, -1.7761, 0.26584, -0.026428, 2.3497, 0.18664, 0.1742, 0.52895, 2.0815, -1.6738, -0.47547, -0.79686, -0.33035, -0.89979, 0.058185, -0.36587, 0.29835, 0.26824, 0.15439, 0.95196, -0.53715, -0.17145, -0.95287, 1.272, -1.4419, 0.54617, -0.024673, 1.0179, -0.1516, 2.1973, -0.42136, -0.83166, 0.86703, 0.7727, -2.5696, 0.56343, -0.72244, 0.095453, -1.1317, -2.0004, 0.64623, -0.6031, 0.61635, 0.47461, -0.65024, -1.3571, -0.92869, 0.8186, -0.39106, -0.94723, -1.5684, 1.5861, 0.38881, 1.6881, -0.12679, -0.26177, -2.2468, -0.71707, -0.12096, 1.0743, 0.24081, 0.81731, 1.662, 1.0432, 0.85109, -1.3763, 1.4173, 0.36597, 1.5246, 0.47522, -2.5494, 0.75977, -0.28247, -0.56661, 0.78398, -0.37528, -2.0374, -0.52096, -0.28077, -0.97972, 0.75528, -1.6198, -1.6373, -1.1839, -0.71863, 1.2692, 1.686, 0.1454, 1.2421, 1.3344, 0.028359, -0.90314, 0.53752, -0.093001, -1.1817, 0.086378, 0.92079, 1.5828, 0.69431, 0.17947, 1.6559, 0.27836, -0.8687, 0.36249, -1.9677, -0.87126, -1.8905, 0.0056336, -0.27234, 0.86485
DataItem3, 10.7303, 9.2112, 9.754, 10.1641, 11.1839, 10.2075, 7.1918, 10.0897, 12.0261, 10.6733, 10.7016, 10.5871, 9.1016, 9.2796, 9.505, 8.7673, 10.1279, 10.6185, 10.4543, 9.6451, 8.8617, 9.8155, 10.5656, 8.6774, 8.3845, 12.5976, 10.4946, 10.458, 10.5118, 10.0131, 9.108, 9.4863, 10.3548, 11.2487, 11.9014, 9.9904, 10.2926, 11.2171, 10.3237, 10.2746, 9.8392, 10.7988, 9.968, 9.6723, 10.1923, 9.5942, 9.8199, 10.7997, 11.2435, 9.1781, 9.6969, 10.121, 8.4897, 9.4356, 10.5024, 9.8795, 10.2803, 9.706, 9.1914, 12.2656, 9.2538, 7.9898, 9.9874, 8.8883, 11.2759, 10.61, 10.7537, 8.7141, 7.763, 9.0529, 9.1493, 9.3813, 9.51, 9.2079, 8.1932, 8.9987, 8.9018, 10.6003, 8.6935, 9.5125, 8.323, 11.5707, 10.307, 11.818, 10.4682, 10.1413, 9.3572, 9.3042, 11.0409, 9.5845, 10.4166, 9.4645, 10.4425, 10.2061, 10.2702, 11.3903, 10.3042, 10.7956, 8.1779, 10.6721, -1.7486, 1.5885, -1.4518, -0.14792, -0.18979, -0.71553, -0.63648, -2.4931, -0.57472, -0.70654, 0.42067, 1.2348, 0.1331, -0.71768, 1.0698, 0.56815, 0.43557, -1.2094, -0.70776, -0.60967, 2.2804, -0.75794, -1.2215, -0.51956, -1.462, -0.30482, -0.15245, 0.072931, 1.5559, -1.2377, 0.18554, 0.87181, 0.035381, 0.082365, -2.6048, 1.5987, 0.24008, -0.05445, -1.472, 0.034556, -0.19214, 0.65329, -0.026956, -0.89362, -0.71136, -0.7526, -1.3301, 0.19132, -0.41248, -1.3154
DataItem4, -11.7869, -9.6309, -10.8555, -10.505, -10.2025, -10.3406, -11.1401, -10.1063, -11.0185, -9.4494, -9.3041, -8.7627, -10.3139, -8.4293, -10.772, -10.0338, -11.8163, -9.7217, -11.9317, -10.8517, -11.9483, -9.7402, -10.3111, -9.6024, -10.9197, -7.2184, -9.0083, -11.5495, -10.1328, -11.8388, -10.1246, -9.3942, -8.9469, -9.5458, -8.8455, -9.2078, -12.0888, -9.1665, -8.8516, -9.9277, -11.4832, -10.4012, -9.9097, -8.6948, -9.4757, -9.0236, -8.7994, -11.1067, -9.7028, -10.8122, -10.7932, -9.9269, -9.968, -7.6219, -10.32, -8.9151, -8.5988, -9.3454, -10.8576, -10.1123, -9.1903, -10.3653, -9.6306, -9.9017, -9.816, -9.4136, -9.4202, -10.5455, -12.0271, -11.6959, -9.1323, -8.6411, -8.9244, -10.1449, -8.3898, -8.3591, -9.5415, -12.6232, -11.6985, -9.3782, -10.633, -10.4154, -10.3258, -8.9722, -12.0493, -8.556, -9.1596, -10.5424, -10.806, -11.3712, -9.51, -10.5846, -9.4992, -10.2965, -11.3489, -8.8647, -9.6717, -12.1257, -10.1138, -9.85, -0.45663, -0.62375, 1.3848, -0.81005, 1.4353, 0.46849, 0.045475, 0.21205, -0.19516, -1.7555, -0.81322, 0.31877, -0.59497, 0.20149, -1.1831, 0.27844, 0.52683, 0.19496, 2.0647, 1.7052, 0.16516, 2.0837, 0.247, 1.2228, 0.36727, -0.28131, 1.6805, 0.23051, 1.2148, -1.6836, -0.63715, -0.2848, -0.30628, 1.1444, -0.70605, 0.81673, -0.99425, -1.2861, -1.3361, 0.94781, 0.34828, 1.8957, -1.5896, -0.033397, 1.3412, 1.5859, -0.57877, 0.56297, -0.46538, -1.0265
DataItem5, -0.79584, -0.055473, -0.79714, 0.40315, 2.0064, 0.28754, 0.92047, 1.0822, -1.3371, 0.98512, 0.40221, 0.49428, 1.1957, 0.31428, 0.94618, 0.79789, 1.3202, 0.0025681, -0.71481, 1.8361, -0.36887, -0.0023879, -0.5601, -0.30151, 0.93202, 0.34361, 1.1416, 1.2026, 0.54098, 0.53936, 0.83252, -0.39786, 1.6561, 0.48654, 0.2771, -2.0297, -1.5435, 0.94996, 0.38946, -0.70341, 1.3885, -1.2697, -0.35838, 0.79428, -0.45605, -0.38744, 0.61138, -2.0519, -1.6333, -0.13447, 1.0116, 0.060168, -0.5659, -0.76101, 0.95682, -0.18741, -0.1586, 1.1056, 1.3244, 0.031387, 0.62216, 1.9951, -2.1181, 1.612, -2.9657, 0.42979, -0.23666, -0.11811, -0.8146, -0.095494, 0.95686, 0.82849, 0.55829, 0.45987, 0.64971, -1.2891, 0.85522, -0.81891, 0.26324, -0.026143, 0.15702, -0.16006, 0.23936, -0.61302, 0.1408, 1.0795, 0.31838, 0.67065, -0.31265, 0.96962, 0.25412, 0.10897, -2.5209, -0.5519, 0.50396, 0.83596, -1.4463, -0.37411, 1.0861, -0.69756, -1.1509, 0.53791, -1.8063, 0.14956, -0.35263, -3.469, 0.67918, 0.1339, 0.033604, 0.67213, -1.4847, 0.054384, 0.50308, -0.59521, 0.76519, -0.91481, -1.8381, -0.48505, 1.5943, -0.88378, -2.2356, 0.97625, -0.50654, 0.94452, -0.40023, -1.944, -1.1621, -0.78474, 1.3435, -0.45121, 0.5482, -0.24473, 0.83189, -1.1035, 0.31334, 0.096257, 1.6649, -0.90282, 0.91618, 0.25532, -0.74878, 0.67904, 1.2342, -1.6045, -0.56108, 0.2326, -1.0139, -0.81567, -0.22475, 1.1402
DataItem6, -10.1131, -11.251, -10.8994, -10.6649, -11.0819, -10.6522, -11.1047, -9.8414, -10.3116, -11.2469, -10.9848, -10.8293, -10.463, -9.3952, -9.433, -9.2686, -9.8679, -10.0261, -9.9301, -9.15, -9.24, -11.5623, -8.8642, -9.2339, -10.6529, -10.5776, -9.2403, -9.6759, -9.1593, -9.5044, -8.7772, -9.8047, -10.4828, -10.9499, -10.9878, -9.7781, -7.8894, -8.8828, -10.209, -9.6817, -8.3028, -9.1366, -8.0187, -10.6586, -9.3251, -8.6888, -10.4087, -8.5794, -12.1655, -9.3186, -10.5626, -8.6337, -8.6292, -8.0462, -10.5541, -8.9756, -9.235, -10.9747, -11.4256, -9.5466, -10.6145, -10.2103, -12.4518, -8.8135, -10.3052, -10.8682, -9.23, -11.0317, -9.4564, -8.8275, -10.1743, -7.9799, -6.2935, -9.2808, -9.0388, -10.4307, -9.5544, -9.2787, -9.9803, -11.3345, -10.1655, -9.6358, -9.4297, -7.975, -8.7185, -9.3969, -9.3449, -10.7232, -10.7958, -11.3174, -10.5167, -11.5476, -11.2746, -9.5662, -11.0208, -10.1244, -9.0018, -11.7308, -10.2269, -7.5446, 0.076983, 1.3824, 0.23827, 0.092714, -1.5595, -0.85134, -1.2894, -0.0032296, 0.66411, -0.5458, -1.5162, -1.5307, -2.6652, 0.48681, -1.1522, -1.7751, -0.75997, 0.31676, 0.36391, 0.18507, -0.1163, 1.3391, 0.40844, 0.9263, 1.2488, 1.3538, 1.2137, 0.11307, -0.50926, 0.34494, 0.11773, -0.92172, 0.87478, -1.7791, 1.6048, 0.97895, -0.60764, 0.64113, -0.48249, -0.26029, -0.42233, 0.73091, -0.29731, -0.51765, -1.8117, 1.4359, -0.68561, -0.40864, 1.1829, 0.34389
DataItem7, -1.3934, 1.559, 0.46856, 3.2609, 0.99401, -1.7226, -0.73139, 0.20086, 0.86578, -1.1749, 0.18437, -0.8379, -1.2538, 0.091352, 0.051196, -0.5439, 0.5506, 1.1511, -1.0598, 1.0296, 1.5691, 0.54639, 0.26472, 0.20805, -1.1871, -0.32317, -1.908, 0.6178, -1.0609, 0.62445, -1.4246, 0.9077, 1.2052, -0.63355, 1.2028, 1.3392, -0.26681, 1.551, 0.66514, 0.57369, 0.77417, -0.77571, -0.50344, 0.92582, 1.5666, -0.19773, 0.93024, 1.7171, -0.1649, -1.052, -2.1244, 0.39915, 0.76433, 0.042381, 1.1025, 0.29716, 0.022725, 0.54228, 0.67063, -0.084262, -1.271, 0.22248, 0.5434, 0.7749, -0.24377, -0.064736, 1.0699, -0.18887, -0.50756, 0.35673, -0.67473, 0.86792, -1.0506, 0.59957, 0.21112, 0.7463, -0.59152, -1.187, 0.51255, 1.1985, 0.20145, 1.2651, -0.17216, 0.25975, 0.20992, -0.30481, -0.040515, 0.80461, -1.4687, -0.85369, 0.09331, 0.82295, -0.40957, 0.19657, 0.94486, 1.5715, 1.2681, -1.1557, 0.92285, -0.81984, 0.95112, 1.239, -0.2662, 0.77086, 1.1733, -0.1656, -1.6681, 0.025345, -1.8964, -0.68726, -1.2753, 0.13625, -1.3574, -0.97308, 1.3869, -0.39572, -0.98191, -0.60159, -0.78305, 1.1666, -1.7928, 0.22098, 0.20226, 0.336, -2.0291, -1.3855, 3.7158, 0.76569, -0.97634, -0.39758, -1.3818, -0.052172, -0.94785, -0.19811, -0.55563, 0.20423, 0.30788, -0.048115, -0.15649, 0.77306, -0.32834, 1.1122, 0.058664, 1.8139, 0.93831, 0.53664, -0.9802, -1.5707, 0.53568, -0.49402
DataItem8, -10.6195, -8.6835, -12.0995, -9.6726, -9.7618, -10.8584, -10.852, -10.3024, -10.1395, -9.3222, -10.4492, -10.9955, -10.158, -8.9602, -11.5677, -9.754, -9.4878, -9.9665, -9.6019, -11.0535, -10.7843, -11.1504, -9.0631, -11.5834, -10.0025, -9.7571, -11.2277, -9.985, -8.1668, -11.4398, -10.9635, -11.2841, -9.8517, -10.4232, -10.9988, -9.286, -11.8809, -10.1386, -11.2242, -11.3516, -10.6056, -10.3895, -9.8144, -9.2357, -10.1695, -9.7427, -10.1638, -10.5619, -9.6388, -11.1587, -10.2583, -7.941, -10.2872, -9.3288, -10.0188, -8.5765, -10.5426, -9.3017, -10.7456, -10.7198, -10.1881, -9.0192, -9.0848, -10.99, -8.8406, -11.0911, -11.3986, -10.3583, -10.3234, -9.6127, -9.4312, -11.6553, -10.4013, -10.3677, -8.8438, -10.4293, -10.3489, -7.9041, -10.1653, -9.0646, -8.8899, -7.1123, -8.1586, -10.798, -9.5291, -9.7525, -9.4213, -9.2664, -10.6128, -9.9282, -11.8242, -9.7138, -10.6328, -10.9208, -10.3454, -8.9377, -9.7116, -11.6566, -11.4828, -9.5926, 0.23443, 1.3069, 0.14518, 0.66087, 0.9476, -0.48333, 0.41233, -1.1274, -0.93473, 1.5045, 0.19081, -1.7767, 0.37683, -0.66018, -0.95783, -0.53258, 0.64356, -0.58064, 1.9646, -1.217, 0.53344, -1.1833, 0.68157, 0.66844, -0.26544, 0.19247, 0.19386, 1.1919, -0.41994, 0.34746, 0.3556, -0.88532, 0.27732, 0.087657, -0.42156, -0.34167, 0.19645, -1.6488, -0.95906, 0.7756, 0.33033, -0.26562, 0.63573, 1.3125, -0.39324, 0.70032, 0.6961, -0.59597, 1.8816, 0.69901
DataItem9, 7.7072, 9.5396, 10.3795, 11.2744, 11.4029, 10.4066, 9.8346, 12.2591, 11.2792, 10.4317, 9.0702, 9.4694, 12.4379, 9.4335, 9.1619, 8.8724, 10.2006, 8.2841, 9.3589, 9.0088, 10.9621, 9.642, 9.2958, 9.0211, 10.3054, 8.2495, 9.697, 9.6469, 11.1106, 9.398, 11.0446, 9.4245, 8.7033, 12.7609, 8.852, 9.5285, 9.5794, 11.6967, 12.1361, 10.522, 9.7402, 9.7985, 9.5068, 8.2941, 10.1921, 10.4801, 9.2402, 9.8962, 9.3619, 9.4063, 10.1037, 9.8601, 10.3964, 8.6941, 9.2172, 9.3281, 9.5694, 9.3032, 9.7401, 9.7606, 8.5293, 10.3109, 8.9324, 11.0792, 9.2319, 9.3195, 9.8632, 11.4301, 8.5711, 10.561, 9.6462, 8.8083, 9.4888, 10.0089, 11.6076, 9.5089, 10.9266, 11.349, 12.2945, 9.9938, 9.096, 10.8768, 10.1134, 10.3609, 10.6825, 9.5691, 10.9742, 10.2829, 10.1615, 9.2941, 12.5886, 9.7042, 9.3842, 9.6921, 8.1369, 9.6254, 9.9224, 10.2905, 8.8076, 10.2602, 1.4976, -0.0016002, 0.1202, -1.7484, 1.3981, -0.5921, -0.42402, -0.84754, 1.9546, 0.66437, -0.22992, 0.79031, 0.79115, -0.34363, -0.92165, -0.40239, -0.79036, 1.0194, 0.30557, -0.35493, 0.4102, -0.11171, -0.56256, 1.4051, -1.5234, -0.5112, -0.19912, -0.1335, -0.76691, 1.2041, -0.59899, 1.3283, -1.8163, -0.32974, 0.57702, 0.55323, -0.27517, -0.95314, 0.20687, -0.62335, -1.3583, -0.30302, -0.32131, 1.7347, -0.36363, -0.4831, 0.62572, -0.94932, -0.77767, -0.89599
DataItem10, 10.5438, 9.4724, 10.5424, 8.457, 11.014, 9.8098, 8.4307, 8.8464, 12.7432, 11.198, 9.8431, 9.2441, 10.8326, 9.1016, 10.6331, 11.7555, 10.8287, 10.9775, 9.3231, 9.6596, 9.1349, 8.7091, 9.1378, 9.5676, 11.6867, 8.9137, 9.2929, 10.7198, 9.2755, 8.9898, 9.0677, 9.3581, 8.3254, 9.8407, 10.9118, 11.6954, 9.6613, 11.2272, 9.2379, 10.713, 9.2564, 8.7707, 12.0442, 9.934, 9.1598, 10.7893, 12.025, 8.7675, 9.6089, 10.1417, 9.5952, 9.7354, 11.6091, 11.1285, 8.3737, 10.7193, 9.8824, 10.4643, 10.6316, 9.3223, 9.8138, 10.1862, 11.122, 9.734, 10.3814, 9.6877, 11.1811, 10.3779, 10.6369, 8.8044, 10.9998, 11.4953, 9.4956, 9.2001, 9.3735, 12.2836, 11.317, 10.4265, 10.9129, 9.1507, 10.0822, 11.6146, 10.8119, 9.9619, 10.2147, 7.9559, 10.5261, 10.344, 9.9111, 9.545, 9.4693, 10.9518, 8.9941, 9.9992, 10.0331, 9.0953, 8.6827, 10.3692, 10.2422, 10.6939, -0.41883, 1.3925, -0.22518, 0.24227, 0.85973, -0.35988, -0.0013745, -1.322, -1.5417, 0.7116, 0.47215, -0.15859, 0.69162, -0.28345, 0.52717, -0.45777, 0.30061, 0.75334, -2.217, 1.5115, 0.15932, 0.14062, 0.47172, -1.325, 1.6598, -0.12684, -0.30725, -0.21439, -1.0854, -0.58653, -1.4533, 0.24254, 0.027108, 0.24133, -1.9912, -0.73233, -0.87959, 0.23911, -0.35115, 0.029146, 0.44416, 0.56688, -0.39198, -1.6679, -0.64863, 0.48537, 0.37145, 0.6449, 0.41354, -0.83918
