, SignalFeature1_D4, SignalFeature2_D4, SignalFeature3_D4, SignalFeature4_D4, SignalFeature5_D4, SignalFeature6_D4, SignalFeature7_D4, SignalFeature8_D4, SignalFeature9_D4, SignalFeature10_D4, SignalFeature11_D4, SignalFeature12_D4, SignalFeature13_D4, SignalFeature14_D4, SignalFeature15_D4, SignalFeature16_D4, SignalFeature17_D4, SignalFeature18_D4, SignalFeature19_D4, SignalFeature20_D4, SignalFeature21_D4, SignalFeature22_D4, SignalFeature23_D4, SignalFeature24_D4, SignalFeature25_D4, SignalFeature26_D4, SignalFeature27_D4, SignalFeature28_D4, SignalFeature29_D4, SignalFeature30_D4, SignalFeature31_D4, SignalFeature32_D4, SignalFeature33_D4, SignalFeature34_D4, SignalFeature35_D4, SignalFeature36_D4, SignalFeature37_D4, SignalFeature38_D4, SignalFeature39_D4, SignalFeature40_D4, SignalFeature41_D4, SignalFeature42_D4, SignalFeature43_D4, SignalFeature44_D4, SignalFeature45_D4, SignalFeature46_D4, SignalFeature47_D4, SignalFeature48_D4, SignalFeature49_D4, SignalFeature50_D4, SignalFeature51_D4, SignalFeature52_D4, SignalFeature53_D4, SignalFeature54_D4, SignalFeature55_D4, SignalFeature56_D4, SignalFeature57_D4, SignalFeature58_D4, SignalFeature59_D4, SignalFeature60_D4, SignalFeature61_D4, SignalFeature62_D4, SignalFeature63_D4, SignalFeature64_D4, SignalFeature65_D4, SignalFeature66_D4, SignalFeature67_D4, SignalFeature68_D4, SignalFeature69_D4, SignalFeature70_D4, SignalFeature71_D4, SignalFeature72_D4, SignalFeature73_D4, SignalFeature74_D4, SignalFeature75_D4, SignalFeature76_D4, SignalFeature77_D4, SignalFeature78_D4, SignalFeature79_D4, SignalFeature80_D4, SignalFeature81_D4, SignalFeature82_D4, SignalFeature83_D4, SignalFeature84_D4, SignalFeature85_D4, SignalFeature86_D4, SignalFeature87_D4, SignalFeature88_D4, SignalFeature89_D4, SignalFeature90_D4, SignalFeature91_D4, SignalFeature92_D4, SignalFeature93_D4, SignalFeature94_D4, SignalFeature95_D4, SignalFeature96_D4, SignalFeature97_D4, SignalFeature98_D4, SignalFeature99_D4, SignalFeature100_D4, NoiseFeature1_D4, NoiseFeature2_D4, NoiseFeature3_D4, NoiseFeature4_D4, NoiseFeature5_D4, NoiseFeature6_D4, NoiseFeature7_D4, NoiseFeature8_D4, NoiseFeature9_D4, NoiseFeature10_D4, NoiseFeature11_D4, NoiseFeature12_D4, NoiseFeature13_D4, NoiseFeature14_D4, NoiseFeature15_D4, NoiseFeature16_D4, NoiseFeature17_D4, NoiseFeature18_D4, NoiseFeature19_D4, NoiseFeature20_D4, NoiseFeature21_D4, NoiseFeature22_D4, NoiseFeature23_D4, NoiseFeature24_D4, NoiseFeature25_D4, NoiseFeature26_D4, NoiseFeature27_D4, NoiseFeature28_D4, NoiseFeature29_D4, NoiseFeature30_D4, NoiseFeature31_D4, NoiseFeature32_D4, NoiseFeature33_D4, NoiseFeature34_D4, NoiseFeature35_D4, NoiseFeature36_D4, NoiseFeature37_D4, NoiseFeature38_D4, NoiseFeature39_D4, NoiseFeature40_D4, NoiseFeature41_D4, NoiseFeature42_D4, NoiseFeature43_D4, NoiseFeature44_D4, NoiseFeature45_D4, NoiseFeature46_D4, NoiseFeature47_D4, NoiseFeature48_D4, NoiseFeature49_D4, NoiseFeature50_D4
DataItem1, 10.3806, 10.3895, 7.6325, 8.9412, 9.6144, 10.0866, 9.3572, 10.5499, 10.611, 8.8049, 10.6372, 10.0178, 10.8675, 10.5036, 9.6113, 8.2516, 8.8403, 11.4325, 9.8672, 10.171, 9.2919, 9.8286, 10.9414, 9.2779, 9.7472, 10.1254, 9.3414, 11.115, 10.2282, 9.3324, 12.3029, 10.2937, 9.8025, 11.6544, 9.7512, 9.4456, 9.8017, 11.0733, 9.6524, 10.872, 9.6862, 8.8113, 8.8534, 9.1694, 10.71, 10.3007, 9.8576, 8.5049, 9.833, 10.4836, 9.1239, 7.8931, 11.051, 8.3396, 11.59, 9.8645, 9.479, 10.0464, 10.5142, 9.6649, 10.4211, 11.7673, 8.7006, 10.8886, 9.4771, 9.6538, 9.444, 11.2176, 8.2114, 11.127, 10.4884, 9.9199, 9.4385, 8.8198, 10.0143, 9.2278, 10.3052, 9.3121, 9.9003, 10.567, 10.3223, 10.1335, 9.8281, 10.4617, 10.5909, 10.9501, 9.935, 9.0125, 10.6721, 11.9975, 10.2288, 10.0995, 10.4932, 9.3461, 9.8064, 8.4364, 10.6123, 9.646, 9.665, 10.559, 1.2348, -0.042926, 2.4949, 0.086373, 1.2531, 1.2153, -0.21259, 1.4261, 0.47334, -1.3497, -2.6265, -0.45208, -0.15095, 0.39167, -0.70063, 1.0957, -0.43746, -1.8196, -0.85184, 0.59462, 1.0152, -0.015947, -0.052184, -0.13685, -0.85135, 0.022431, 0.076888, -1.5654, -0.47149, 1.6513, 0.087497, 0.60781, -1.7654, 0.10631, -0.40426, -0.82902, 1.4413, 1.8364, 0.074237, -0.85643, 0.57254, -0.41884, 0.39181, 0.2801, 0.79213, -0.19542, 0.13269, -0.064035, 0.9907, -0.44709
DataItem2, 0.33179, 1.6169, 0.91077, 0.98838, 0.15564, -0.53858, 0.94229, 1.2668, 0.25455, 1.35, 1.254, 0.27469, 1.1276, -0.081018, 0.53245, 0.11081, 0.82446, -2.0085, -1.7448, 0.036454, 0.78741, 0.057934, -1.4032, -1.9839, 0.31127, -0.82826, 1.5482, 0.80283, 1.7306, -0.10389, -0.86282, -0.085633, -0.36356, -0.82387, -1.9816, -0.73344, 1.7092, -1.6095, -0.39824, 2.2175, -0.64621, -2.0098, 0.19335, 1.5783, -1.4967, -0.38472, -0.94502, 1.3582, 0.261, -0.57573, 0.78253, -1.1299, -0.0026309, 0.23163, -0.2819, -0.36829, 0.23709, -0.60391, 0.92592, 1.4104, 1.4371, 1.165, -1.3751, 0.85072, -1.2885, 0.28706, -0.14953, -0.76718, 1.1153, 0.18619, -0.016268, -0.42375, -0.13868, -1.0971, -1.3923, 0.76578, 0.857, -0.23116, 0.47491, -0.035609, 1.3937, 1.5672, -0.37672, -0.18765, 2.9146, -0.81008, -0.64778, 1.8222, 0.7767, 1.0072, -0.17728, -0.3886, 0.76172, -0.72441, -0.5525, 0.98833, 0.35294, 0.97258, 0.15084, -0.43002, 0.096834, 0.37008, -1.0778, 0.15719, -0.12476, 1.6642, -0.47288, -0.18995, 0.54979, 0.018606, -2.0668, 0.2605, 0.54156, -0.66716, -0.1045, -0.88496, -0.98461, -0.79191, -0.26227, -0.77745, 0.29396, -1.4002, 1.0278, 0.71317, -0.16158, -0.075239, 1.4859, 0.28782, -0.79547, 0.37674, -0.60344, 1.453, -1.2816, -0.83197, -0.89458, 1.0859, -0.11532, 0.46898, -0.66669, 2.1551, 0.1432, -0.068256, 0.18033, -0.64431, 0.10441, -0.82617, 1.0477, -0.68753, -0.35161, 0.96907
DataItem3, 10.4417, 9.1481, 10.369, 11.8633, 8.6568, 11.442, 9.2316, 9.7122, 10.3718, 10.7259, 10.2731, 9.2035, 10.137, 9.5649, 9.8668, 9.2822, 10.3795, 9.7044, 11.1392, 10.9308, 9.9593, 9.4803, 9.0815, 9.7099, 9.1886, 9.3746, 10.1897, 9.1718, 6.6426, 9.1582, 9.4636, 9.3228, 8.9864, 10.8912, 9.5752, 9.2005, 9.7782, 10.2013, 9.045, 9.966, 8.6603, 9.0422, 9.6014, 9.4753, 9.9164, 9.3411, 11.2661, 11.8062, 8.937, 7.9476, 10.1044, 9.0121, 9.6927, 9.9967, 11.1019, 11.9532, 9.8012, 9.296, 9.3517, 9.7474, 8.2056, 9.7822, 9.4899, 10.3345, 10.2511, 9.3438, 8.6865, 10.7521, 10.5178, 11.0394, 9.9627, 9.9433, 10.3484, 11.3377, 10.1223, 10.7082, 10.3115, 8.103, 9.9752, 9.4837, 9.2016, 9.8491, 9.972, 10.3034, 10.4077, 11.3506, 11.1816, 9.9598, 10.9691, 10.3637, 10.3518, 11.4811, 9.2698, 8.1515, 9.0006, 11.6509, 10.691, 9.1569, 9.3916, 9.6192, -0.65282, -0.79062, 0.44252, 0.64566, 0.1496, 0.38127, -0.56908, 0.088659, 0.075386, 0.34399, 1.1577, 0.29412, 0.14439, -0.014061, -0.533, -0.42691, 1.4772, 0.11905, -0.37103, -2.0324, 0.97026, 0.31429, 0.31206, -1.2368, 0.91017, 0.26064, 0.60695, -0.28526, 0.55265, -0.36231, 0.3292, 1.3225, 0.17301, -1.4697, 1.1266, -0.46777, 0.14008, -0.07135, 0.51192, 1.2218, -0.61169, -1.282, 0.03775, 0.12917, 1.0891, 1.8081, 0.39908, 0.26849, 0.91309, -1.0894
DataItem4, 1.2884, 0.69896, -1.3256, -2.0646, -1.9623, -0.45215, -0.12138, -0.31139, 0.15217, -0.078469, 0.37804, 0.44703, 1.8794, 0.22678, 0.67633, 0.49176, -0.55911, 1.1269, -0.36964, 0.16668, 0.32326, -1.3502, 0.7911, 2.0125, 0.50464, -0.47454, -1.3205, -0.14597, 0.91425, -1.0271, -0.050665, 0.93566, -1.5836, 0.070083, -1.7102, -0.00014354, -0.77671, 0.13619, 0.93611, -1.4639, 0.41031, -0.11236, 1.5036, -1.2515, 1.3562, 1.326, -1.1205, -0.039679, -0.49044, -0.54296, -1.0759, -0.7384, -1.7307, -0.93489, 0.062372, -0.039382, -2.383, 1.0165, 1.7614, -0.048861, -1.6378, -1.0955, 0.22018, 0.58413, -0.29943, -1.0424, 2.4323, -0.77482, 0.9343, -0.13551, 0.54556, 1.1059, -2.0479, 1.1449, 0.5978, 1.8849, 0.17663, 0.14199, -0.36802, -0.090849, 0.22928, 0.21016, 1.5739, 1.6279, -0.72874, -0.43562, 0.62566, 1.5225, 1.1582, -0.68411, -0.33781, -0.64461, 0.64318, 0.97199, -0.98142, 1.4561, -0.7112, 0.86025, -0.95872, 0.67832, 0.92746, -0.19216, 0.33182, 0.3238, -1.3713, -1.4227, -1.4742, 0.93668, 0.14209, 1.3223, 1.2794, -0.016791, 0.49785, -0.69372, 0.2611, 0.049937, -0.043384, -0.51092, -1.6182, -0.90623, -0.58845, 0.26609, 0.7518, 0.37314, 1.8737, -0.18517, -1.0333, 1.0516, 1.0976, 0.648, 0.25517, 0.36211, -0.90081, 0.77027, -0.81575, -0.087746, -0.52195, 0.5635, 2.1019, -1.1626, 1.2474, -1.0205, -0.11672, -1.2964, -0.36823, -0.58723, 0.16728, 0.68728, -1.3362, 0.96242
DataItem5, 9.3168, 9.6102, 10.1318, 9.9319, 11.4745, 11.8715, 8.97, 10.0143, 8.8843, 9.3866, 9.5877, 10.6786, 10.5528, 10.2717, 9.1521, 9.8709, 9.8368, 9.1763, 9.6341, 10.3792, 8.9336, 9.9917, 9.1753, 9.0479, 9.7339, 11.5145, 10.4416, 9.8565, 10.4642, 10.6125, 9.5192, 9.4817, 10.143, 10.0947, 10.0795, 10.2022, 8.8385, 9.2458, 9.4647, 11.4358, 8.7816, 10.3121, 8.6169, 10.9292, 10.2053, 8.8403, 10.5872, 9.9995, 11.5545, 9.5901, 10.6656, 11.3881, 9.7073, 9.3479, 10.1555, 9.538, 10.9128, 9.9636, 11.7789, 9.8217, 12.591, 9.4698, 10.9287, 10.2347, 9.5451, 8.2246, 9.8027, 9.8839, 12.3896, 8.7915, 10.0395, 10.2068, 9.7255, 10.9746, 10.7341, 9.7221, 10.8329, 11.6495, 9.2233, 10.5922, 12.0662, 7.5509, 8.7125, 10.1768, 9.7368, 9.7291, 9.5473, 11.6193, 10.7969, 9.9527, 9.468, 9.5864, 8.2207, 9.5936, 11.1016, 9.5513, 10.0765, 9.9337, 8.5467, 10.0008, -0.82938, -0.22255, 0.3265, -2.0105, 1.0709, -1.609, -0.891, -0.96194, -1.4063, -1.4986, -0.82176, -0.19602, -0.18013, 0.042716, -0.10114, 1.562, -1.4404, -2.0175, 1.3839, 0.015769, -0.35222, -1.4187, -0.81785, 0.60738, 0.15862, 1.4349, -0.5037, 1.6532, 0.13574, -0.98611, -1.2223, -0.96918, 1.315, 1.9298, -1.5307, -1.1511, -0.17928, 0.9741, -0.52621, 1.3, -0.85761, -0.10383, -1.6927, 1.1971, -1.0713, -1.9097, -0.025289, 0.16574, -0.014866, -0.01228
DataItem6, 10.0635, 8.773, 11.6342, 11.2955, 8.3443, 9.9387, 7.2948, 9.8116, 11.3121, 8.5371, 10.6813, 9.7767, 10.1845, 9.3885, 10.1033, 10.1483, 11.5182, 9.041, 8.5601, 9.6345, 9.6789, 10.939, 9.4567, 9.563, 10.3004, 9.5602, 9.8933, 9.5079, 10.8004, 9.3193, 11.6247, 9.4247, 9.0059, 9.2804, 10.8408, 9.3179, 10.0995, 10.3504, 10.6598, 10.6469, 11.1962, 9.849, 10.407, 9.0811, 9.5279, 9.0473, 10.0099, 10.335, 11.2599, 10.623, 11.2447, 9.4542, 8.7952, 10.2196, 11.1071, 10.5404, 9.6413, 8.5636, 8.3485, 9.4653, 11.2444, 8.8903, 9.8524, 8.0394, 9.4127, 9.8929, 11.8308, 9.3467, 10.3416, 8.9352, 10.7651, 9.3964, 11.2915, 9.947, 9.1924, 9.9456, 9.9556, 9.9222, 9.0539, 8.4645, 11.104, 8.3891, 10.3265, 9.464, 10.0028, 11.588, 9.2751, 8.3948, 7.4474, 9.6801, 10.8717, 10.7458, 9.7188, 10.3108, 9.4886, 8.4496, 11.3895, 10.584, 10.1567, 10.0552, 0.89953, 0.0037912, -0.8597, -2.2074, -0.99103, 0.80343, 1.2239, 2.2689, 1.1667, -0.064053, 0.4, -0.20635, -0.83144, -1.2715, 0.96437, 1.4742, -0.83222, 1.0542, 0.3996, -0.13672, -1.4995, 1.3797, 0.025971, -0.81192, -0.362, 0.619, -1.0297, 0.45451, 0.49827, 0.77753, -0.42465, -0.5926, 1.1182, 0.35884, 1.512, -0.20418, 0.40263, 0.39844, 0.86282, -1.2583, 1.1355, 0.80473, -0.38318, 1.5732, -1.2672, 0.57345, 1.2233, -0.40866, -1.1534, -1.5265
DataItem7, -10.8893, -9.9285, -8.9125, -10.4036, -10.645, -9.4177, -10.7924, -10.0388, -11.3318, -12.4781, -11.2694, -8.5161, -9.9673, -11.1047, -11.6284, -8.7469, -11.0686, -10.171, -10.1114, -10.4354, -9.9122, -10.9641, -10.2479, -9.3804, -11.7859, -8.641, -8.5599, -10.3898, -10.4208, -10.5049, -10.6836, -11.2342, -9.6384, -10.3187, -11.0901, -9.8497, -10.1015, -10.2404, -10.6509, -11.2501, -10.5507, -9.1414, -11.3569, -10.1264, -9.956, -10.2518, -8.7257, -10.0837, -10.5271, -9.9773, -9.8065, -11.7378, -9.2251, -10.3004, -9.7388, -8.3475, -10.11, -10.4035, -9.7969, -11.3629, -9.9967, -8.5055, -9.2593, -11.5909, -11.8, -11.0639, -10.1782, -11.61, -11.7084, -9.9183, -9.135, -9.6065, -8.7569, -12.046, -10.8559, -9.7096, -9.6827, -9.8922, -9.9516, -9.4041, -10.3872, -9.6565, -9.0908, -9.4762, -10.9081, -8.1279, -12.415, -8.4994, -10.477, -12.2798, -11.0356, -9.597, -10.5611, -10.3331, -10.1215, -10.4011, -10.4297, -8.1695, -9.4615, -8.0995, 0.9035, -0.054109, 1.3966, 1.0815, -0.39945, -0.43597, 0.18897, 0.58507, 0.23596, 1.1074, 0.5616, 0.5054, -2.6949, 0.74829, 0.87069, -0.43735, 0.67875, 0.59738, 0.5772, -1.516, -0.027739, -0.1645, -0.373, -0.89471, -0.064908, -0.36638, 0.99562, -0.34495, 0.95642, 0.1733, 2.5565, -0.40065, 1.1003, 0.098639, 1.1045, -1.5996, 1.1605, -0.38159, 0.27355, 0.53294, 0.085789, -0.094967, -0.446, -0.19745, 0.35419, -2.7605, 0.61289, -1.3858, -0.47131, -0.7273
DataItem8, 11.4866, 9.3843, 6.9805, 10.4718, 9.7671, 10.3307, 10.1046, 10.8328, 11.8227, 11.8627, 11.0138, 9.5434, 10.0929, 9.0239, 8.3814, 10.3016, 10.5812, 10.762, 9.7791, 9.1818, 9.8364, 9.3513, 8.6566, 9.464, 10.981, 9.0501, 9.8159, 10.2005, 9.88, 10.7863, 9.8222, 11.3024, 9.6412, 10.5261, 9.5866, 10.4195, 9.2751, 10.3973, 8.7752, 11.6266, 10.1224, 10.5121, 8.4796, 11.5819, 9.0902, 11.8281, 12.0097, 11.1252, 10.3316, 11.1504, 8.386, 9.7283, 10.4805, 9.6119, 9.8779, 9.6695, 10.5928, 8.1948, 10.1722, 9.5961, 9.3459, 9.4168, 9.3377, 10.3469, 9.3057, 9.1496, 10.8234, 8.4149, 11.6996, 9.285, 7.4237, 10.0037, 10.9839, 9.833, 9.1645, 10.6248, 11.2998, 8.4836, 11.209, 11.9222, 11.5733, 10.5226, 9.8405, 11.2419, 10.1151, 8.0652, 8.7906, 10.7977, 11.5051, 9.7958, 8.2276, 8.3561, 9.6918, 9.468, 9.275, 8.3621, 10.5924, 10.9079, 10.1011, 10.3986, -1.429, -0.40646, 1.2854, -0.57039, 0.27716, -0.021093, 0.21669, -1.6672, 0.38325, 0.18335, 1.3345, 1.0429, 0.71998, -1.8072, -1.6756, 0.7075, 0.67366, -1.6599, 0.097597, 0.36721, -1.2893, 0.32862, 0.93672, 1.5963, 0.40339, 1.4297, 0.072404, 1.6743, 0.48309, 0.44561, -0.58676, -0.31623, 1.2111, 0.18172, -1.0403, -1.7557, -0.36084, 1.5541, -0.427, 1.4397, -0.83152, -1.5438, -1.2597, -0.60066, 0.71016, -0.67393, 0.49325, -1.4597, -0.73933, -1.0235
DataItem9, 0.30769, 0.96876, -0.21823, 0.31542, 1.2551, 0.67784, -0.4036, 0.84974, 0.33818, 1.4467, -0.84089, -0.80987, 0.21479, 0.30494, -0.48694, -0.28151, 0.1893, -0.52325, -0.34158, -0.76274, -0.36634, 0.0050773, 0.66881, -1.4055, -0.12062, -2.5642, 1.2847, -1.3019, 0.70399, 0.30122, 0.77886, 0.4123, -1.691, -0.028489, -0.57131, -0.6956, -1.1547, 1.8769, 0.6628, -0.18305, 1.0073, -0.1758, 0.0819, 0.16007, 0.40303, 1.3514, 0.29088, -2.3399, 0.59818, 0.19071, 0.88336, -0.65053, 1.6431, -0.24137, -0.0029916, 1.4052, -0.34054, -0.77642, -0.58093, 1.3738, 0.18048, -0.16117, -1.2915, -0.43371, 1.1468, -1.6757, -1.14, -0.66746, -0.64229, 0.48135, 0.34018, 0.1341, -0.33449, 0.01341, -0.55427, -0.67173, 0.24902, -0.92196, -0.74574, 1.7155, 0.61656, -0.50418, -0.82221, 0.64976, 1.2115, 0.20957, 0.71256, 1.4556, -1.632, -0.7573, -2.643, 0.2081, -0.36754, -0.47444, -0.96526, 0.5823, -1.4707, -0.89863, 0.5118, -0.53518, 0.36466, 0.013588, 1.0848, 0.26214, -0.51611, -1.1646, -0.010732, -0.59834, 0.77947, -0.44676, 0.55435, 0.77747, 0.96374, 0.88336, -0.54772, -0.53634, 0.81859, -0.71825, 0.77041, -0.62131, -1.351, 2.7357, -0.5836, -0.4009, -1.4836, 0.036572, -0.71138, 0.53261, -0.44295, 0.15824, 0.29672, 1.7751, 2.0092, -1.2946, -1.1919, 0.79909, -0.67686, -0.71661, -0.47888, -0.69449, 1.2005, 0.11114, -0.55115, -0.92645, 1.4928, 0.091449, 0.76745, 0.96172, 0.36659, -0.26389
DataItem10, 0.43101, 0.90987, 0.051559, -0.3751, -2.0425, 0.24965, -0.91832, -0.22047, -0.16841, 1.2283, 0.62765, -0.66913, 0.94393, -1.8896, -0.41645, -2.2132, -0.0085514, -0.70533, 2.3848, 0.31012, -2.0823, 1.5634, 0.9281, 0.80689, 1.4775, -0.2854, 0.71673, 1.1544, -0.35301, -0.067716, -0.56858, -0.47471, -0.4099, -0.39111, 0.31649, -0.22146, -1.8248, 0.26826, -1.0698, -1.3538, -0.26702, 2.3175, -0.40951, -0.84342, -0.13561, -1.8459, -0.1569, -1.3928, 0.67106, 0.061082, -0.094092, 0.21936, -0.43626, -1.2513, -0.81789, 0.38796, 1.8355, -0.34657, 0.52877, 0.88775, 0.15222, 0.40548, 0.93263, -1.5433, -1.0283, -0.9209, 1.0373, -0.27771, 1.5231, 0.46736, 0.82203, -0.93912, 0.67706, -0.23477, 0.56336, -0.72931, -1.679, 1.0375, 0.62372, -0.11445, -0.62155, -0.35815, -1.2513, -0.98271, 0.090617, -0.59949, -1.4622, 0.28594, -0.15999, -0.10217, -0.56025, 0.52516, 0.36262, -1.6531, 1.253, 1.1738, 0.26137, 1.7078, 0.67115, -0.41527, 0.20602, 0.049854, -0.46082, 1.9456, -0.68301, -1.0663, -0.73385, -1.046, -1.0297, 0.55251, -0.65853, 0.073994, -0.054085, 0.65889, -1.0415, 0.9007, 0.5848, -1.7837, 0.94633, -0.055731, -0.40473, -2.0943, -0.99816, -0.41109, -0.31237, 0.34375, 1.283, 0.72523, -2.3384, 0.18813, 1.372, 0.50964, 0.041837, 0.14821, 0.6843, -1.42, 0.28308, 1.6926, 0.90931, -0.21649, -1.7161, -0.44241, -0.087435, 0.40586, 1.2084, 0.87691, -0.60486, 0.091128, 1.1421, 1.1466
DataItem11, 10.7753, 8.5475, 10.9026, 10.3316, 9.871, 9.0624, 9.7347, 8.8426, 9.1223, 10.1894, 9.0996, 8.8759, 11.4154, 9.8531, 9.3029, 10.3761, 10.5245, 7.9095, 10.2621, 10.7041, 9.6321, 9.753, 8.2735, 8.8358, 10.1807, 8.0234, 9.7341, 8.9105, 10.3697, 9.9267, 9.485, 10.898, 10.8928, 11.0671, 10.4818, 9.196, 8.0837, 9.4216, 9.5531, 9.7794, 9.389, 9.5917, 9.8522, 10.0449, 9.0288, 10.0688, 11.2455, 9.0848, 10.9285, 11.7105, 11.3647, 8.7719, 9.418, 10.3317, 10.0626, 10.3319, 10.9031, 10.202, 10.5398, 9.9346, 10.4351, 11.2172, 9.6913, 9.1795, 9.0713, 8.2106, 10.5973, 9.9433, 11.8359, 9.1137, 10.7296, 8.7008, 11.2863, 8.9385, 10.0267, 9.967, 10.3361, 10.4067, 9.2247, 10.2397, 11.5258, 11.7236, 8.2308, 11.2504, 11.244, 11.6998, 9.7564, 10.13, 10.5585, 8.9039, 11.7049, 10.2996, 9.8358, 10.8166, 9.5535, 8.695, 8.6522, 8.4695, 10.727, 10.0142, 0.22089, -0.69562, 1.389, 0.058338, 0.078866, -0.063556, 1.7244, -0.51053, -1.7294, -1.5847, -0.62648, 0.38623, -0.43226, -0.98508, 0.33729, 0.064008, -0.92664, 0.062045, 0.053075, 0.40892, -0.76381, 0.91691, 0.11604, -0.15589, -0.079949, -0.7937, 0.50706, -0.032781, -1.2765, -0.69974, -2.7606, 1.7398, 1.2343, 0.89921, -0.79428, -0.55217, -0.56417, 1.397, -0.033809, 1.7925, -1.1978, 0.50064, -0.014315, 1.7058, -0.62511, 1.8783, 0.99011, 1.1836, 2.2293, 0.69146
