"","x"
"1",1
"2",2
"3",1
"4",2
"5",2
"6",2
"7",1
"8",2
"9",1
"10",1
"11",1
"12",1
"13",1
"14",2
"15",2
"16",1
"17",1
"18",1
"19",2
"20",1
"21",2
"22",2
"23",2
"24",2
"25",2
"26",1
"27",1
"28",1
"29",2
"30",1
"31",2
"32",1
"33",1
"34",2
"35",2
"36",1
"37",2
"38",1
"39",1
"40",2
"41",1
"42",1
"43",2
"44",2
"45",1
"46",2
"47",2
"48",2
"49",2
"50",2
"51",1
"52",1
"53",2
"54",1
"55",1
"56",1
"57",1
"58",2
"59",1
"60",1
"61",1
"62",1
"63",1
"64",1
"65",1
"66",2
"67",2
"68",2
"69",1
"70",2
"71",2
"72",2
"73",2
"74",1
"75",2
"76",2
"77",2
"78",1
"79",1
"80",1
"81",1
"82",1
"83",2
"84",1
"85",1
"86",1
"87",2
"88",1
"89",1
"90",2
"91",1
"92",2
"93",2
"94",1
"95",2
"96",2
"97",1
"98",2
"99",2
"100",2
"101",2
"102",2
"103",1
"104",1
"105",1
"106",1
"107",1
"108",2
"109",2
"110",2
"111",2
"112",2
"113",1
"114",2
"115",1
"116",1
"117",2
"118",1
"119",2
"120",2
"121",2
"122",1
"123",2
"124",1
"125",1
"126",1
"127",2
"128",1
"129",2
"130",2
"131",2
"132",2
"133",2
"134",2
"135",2
"136",1
"137",1
"138",2
"139",1
"140",1
"141",2
"142",1
"143",1
"144",2
"145",1
"146",1
"147",1
"148",2
"149",2
"150",1
"151",2
"152",2
"153",2
"154",2
"155",1
"156",2
"157",2
"158",1
"159",1
"160",2
"161",1
"162",2
"163",1
"164",1
"165",2
"166",2
"167",2
"168",1
"169",2
"170",1
"171",1
"172",1
"173",2
"174",1
"175",1
"176",2
"177",1
"178",2
"179",2
"180",1
"181",2
"182",1
"183",2
"184",1
"185",1
"186",1
"187",2
"188",2
"189",2
"190",1
"191",2
"192",2
"193",1
"194",2
"195",1
"196",2
"197",2
"198",1
"199",1
"200",1
