MassParameter_1,Dataset1_DataItem1,Dataset1_DataItem2,Dataset1_DataItem3,Dataset1_DataItem4,Dataset1_DataItem5,Dataset1_DataItem6,Dataset1_DataItem7,Dataset1_DataItem8,Dataset1_DataItem9,Dataset1_DataItem10,Dataset1_DataItem11,Dataset1_DataItem12,Dataset1_DataItem13,Dataset1_DataItem14,Dataset1_DataItem15,Dataset1_DataItem16,Dataset1_DataItem17,Dataset1_DataItem18,Dataset1_DataItem19,Dataset1_DataItem20,Dataset1_DataItem21,Dataset1_DataItem22,Dataset1_DataItem23,Dataset1_DataItem24,Dataset1_DataItem25,Dataset1_DataItem26,Dataset1_DataItem27,Dataset1_DataItem28,Dataset1_DataItem29,Dataset1_DataItem30,Dataset1_DataItem31,Dataset1_DataItem32,Dataset1_DataItem33,Dataset1_DataItem34,Dataset1_DataItem35,Dataset1_DataItem36,Dataset1_DataItem37,Dataset1_DataItem38,Dataset1_DataItem39,Dataset1_DataItem40,Dataset1_DataItem41,Dataset1_DataItem42,Dataset1_DataItem43,Dataset1_DataItem44,Dataset1_DataItem45,Dataset1_DataItem46,Dataset1_DataItem47,Dataset1_DataItem48,Dataset1_DataItem49,Dataset1_DataItem50,Dataset1_DataItem51,Dataset1_DataItem52,Dataset1_DataItem53,Dataset1_DataItem54,Dataset1_DataItem55,Dataset1_DataItem56,Dataset1_DataItem57,Dataset1_DataItem58,Dataset1_DataItem59,Dataset1_DataItem60,Dataset1_DataItem61,Dataset1_DataItem62,Dataset1_DataItem63,Dataset1_DataItem64,Dataset1_DataItem65,Dataset1_DataItem66,Dataset1_DataItem67,Dataset1_DataItem68,Dataset1_DataItem69,Dataset1_DataItem70,Dataset1_DataItem71,Dataset1_DataItem72,Dataset1_DataItem73,Dataset1_DataItem74,Dataset1_DataItem75,Dataset1_DataItem76,Dataset1_DataItem77,Dataset1_DataItem78,Dataset1_DataItem79,Dataset1_DataItem80,Dataset1_DataItem81,Dataset1_DataItem82,Dataset1_DataItem83,Dataset1_DataItem84,Dataset1_DataItem85,Dataset1_DataItem86,Dataset1_DataItem87,Dataset1_DataItem88,Dataset1_DataItem89,Dataset1_DataItem90,Dataset1_DataItem91,Dataset1_DataItem92,Dataset1_DataItem93,Dataset1_DataItem94,Dataset1_DataItem95,Dataset1_DataItem96,Dataset1_DataItem97,Dataset1_DataItem98,Dataset1_DataItem99,Dataset1_DataItem100
2,6,5,6,6,6,4,7,8,6,1,3,5,1,6,4,2,7,3,8,2,2,5,4,2,3,5,1,5,2,2,1,2,5,5,2,1,2,7,2,1,4,8,3,7,4,5,7,8,5,8,4,3,5,2,4,7,7,5,5,6,3,7,5,3,8,1,6,8,7,5,7,2,1,6,6,1,2,5,3,3,8,5,2,2,2,8,2,1,7,3,5,4,7,1,4,6,5,1,1,7
1.8919,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,3,44,44,44,3,44,44,3,44,3,3,3,44,3,3,44,3,3,3,3,3,3,44,3,3,44,44,3,3,6,3,6,3,3,3,3,3,3,44,44,3,3,6,3,6,6,3,6,6,3,3,6,3,3,6,6,6,3,3,3,6,6,3,6,6,6,6
1.5292,4,4,4,4,4,4,19,4,4,4,4,19,4,19,19,4,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,14,19,19,19,14,19,19,14,19,14,14,14,19,14,14,14,14,14,14,14,14,14,19,14,14,19,19,14,14,13,14,13,14,14,14,14,14,14,14,14,14,14,13,14,13,13,14,13,13,14,14,13,13,14,13,13,13,14,14,14,13,13,14,13,13,13,13
1.5802,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,24,28,28,28,24,28,28,24,28,24,24,24,28,24,24,28,24,24,24,24,24,24,28,24,24,28,28,24,24,19,24,10,24,24,24,24,24,24,28,24,24,24,10,24,10,10,24,10,10,24,24,10,24,24,10,10,10,24,24,24,10,10,24,10,24,10,10
1.6985,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,48,48,21,21,48,21,21,48,21,48,48,48,21,48,48,48,48,48,48,48,48,48,21,48,48,21,21,48,48,20,48,20,48,48,48,48,48,48,48,48,48,48,20,48,20,20,48,20,20,48,48,20,20,48,20,20,20,20,48,20,20,20,48,20,20,20,20
1.7079,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,19,16,16,16,19,16,16,19,16,19,19,19,16,19,19,16,19,19,19,19,19,19,16,19,19,16,16,19,19,15,19,1,9,19,9,9,9,9,16,9,9,9,9,9,9,9,9,1,9,9,9,1,9,9,1,9,1,9,9,9,1,1,9,9,9,9,9
1.271,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,1,19,19,19,19,19,38,19,19,19,38,19,19,38,1,38,38,38,1,38,38,1,38,38,38,38,38,38,1,38,38,1,19,38,38,38,38,38,38,38,38,38,38,38,1,1,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38
1.1972,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,40,1,1,1,1,1,1,1,5,1,1,1,5,1,1,1,1,1,5,5,1,5,5,1,1,5,5,5,5,5,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1.3544,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,18,18,9,18,18,9,9,18,9,18,18,18,9,18,18,18,18,18,18,18,18,2,18,18,18,18,9,18,18,50,2,50,50,2,2,2,2,2,18,18,2,2,50,2,50,50,50,50,50,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
1.0827,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,48,48,2,2,48,2,2,48,2,48,48,48,2,48,48,2,48,48,48,48,48,48,2,48,48,2,2,48,48,1,48,1,48,48,48,48,48,48,2,48,48,48,1,48,1,1,1,1,1,48,1,1,1,1,1,1,1,1,48,1,1,1,1,1,1,1,1
