MassParameter_1,Dataset1_DataItem1,Dataset1_DataItem2,Dataset1_DataItem3,Dataset1_DataItem4,Dataset1_DataItem5,Dataset1_DataItem6,Dataset1_DataItem7,Dataset1_DataItem8,Dataset1_DataItem9,Dataset1_DataItem10,Dataset1_DataItem11,Dataset1_DataItem12,Dataset1_DataItem13,Dataset1_DataItem14,Dataset1_DataItem15,Dataset1_DataItem16,Dataset1_DataItem17,Dataset1_DataItem18,Dataset1_DataItem19,Dataset1_DataItem20,Dataset1_DataItem21,Dataset1_DataItem22,Dataset1_DataItem23,Dataset1_DataItem24,Dataset1_DataItem25,Dataset1_DataItem26,Dataset1_DataItem27,Dataset1_DataItem28,Dataset1_DataItem29,Dataset1_DataItem30,Dataset1_DataItem31,Dataset1_DataItem32,Dataset1_DataItem33,Dataset1_DataItem34,Dataset1_DataItem35,Dataset1_DataItem36,Dataset1_DataItem37,Dataset1_DataItem38,Dataset1_DataItem39,Dataset1_DataItem40,Dataset1_DataItem41,Dataset1_DataItem42,Dataset1_DataItem43,Dataset1_DataItem44,Dataset1_DataItem45,Dataset1_DataItem46,Dataset1_DataItem47,Dataset1_DataItem48,Dataset1_DataItem49,Dataset1_DataItem50,Dataset1_DataItem51,Dataset1_DataItem52,Dataset1_DataItem53,Dataset1_DataItem54,Dataset1_DataItem55,Dataset1_DataItem56,Dataset1_DataItem57,Dataset1_DataItem58,Dataset1_DataItem59,Dataset1_DataItem60,Dataset1_DataItem61,Dataset1_DataItem62,Dataset1_DataItem63,Dataset1_DataItem64,Dataset1_DataItem65,Dataset1_DataItem66,Dataset1_DataItem67,Dataset1_DataItem68,Dataset1_DataItem69,Dataset1_DataItem70,Dataset1_DataItem71,Dataset1_DataItem72,Dataset1_DataItem73,Dataset1_DataItem74,Dataset1_DataItem75,Dataset1_DataItem76,Dataset1_DataItem77,Dataset1_DataItem78,Dataset1_DataItem79,Dataset1_DataItem80,Dataset1_DataItem81,Dataset1_DataItem82,Dataset1_DataItem83,Dataset1_DataItem84,Dataset1_DataItem85,Dataset1_DataItem86,Dataset1_DataItem87,Dataset1_DataItem88,Dataset1_DataItem89,Dataset1_DataItem90,Dataset1_DataItem91,Dataset1_DataItem92,Dataset1_DataItem93,Dataset1_DataItem94,Dataset1_DataItem95,Dataset1_DataItem96,Dataset1_DataItem97,Dataset1_DataItem98,Dataset1_DataItem99,Dataset1_DataItem100,Dataset1_DataItem101,Dataset1_DataItem102,Dataset1_DataItem103,Dataset1_DataItem104,Dataset1_DataItem105,Dataset1_DataItem106,Dataset1_DataItem107,Dataset1_DataItem108,Dataset1_DataItem109,Dataset1_DataItem110,Dataset1_DataItem111,Dataset1_DataItem112,Dataset1_DataItem113,Dataset1_DataItem114,Dataset1_DataItem115,Dataset1_DataItem116,Dataset1_DataItem117,Dataset1_DataItem118,Dataset1_DataItem119,Dataset1_DataItem120,Dataset1_DataItem121,Dataset1_DataItem122,Dataset1_DataItem123,Dataset1_DataItem124,Dataset1_DataItem125,Dataset1_DataItem126,Dataset1_DataItem127,Dataset1_DataItem128,Dataset1_DataItem129,Dataset1_DataItem130,Dataset1_DataItem131,Dataset1_DataItem132,Dataset1_DataItem133,Dataset1_DataItem134,Dataset1_DataItem135,Dataset1_DataItem136,Dataset1_DataItem137,Dataset1_DataItem138,Dataset1_DataItem139,Dataset1_DataItem140,Dataset1_DataItem141,Dataset1_DataItem142,Dataset1_DataItem143,Dataset1_DataItem144,Dataset1_DataItem145,Dataset1_DataItem146,Dataset1_DataItem147,Dataset1_DataItem148,Dataset1_DataItem149,Dataset1_DataItem150,Dataset1_DataItem151,Dataset1_DataItem152,Dataset1_DataItem153,Dataset1_DataItem154,Dataset1_DataItem155,Dataset1_DataItem156,Dataset1_DataItem157,Dataset1_DataItem158,Dataset1_DataItem159,Dataset1_DataItem160,Dataset1_DataItem161,Dataset1_DataItem162,Dataset1_DataItem163,Dataset1_DataItem164,Dataset1_DataItem165,Dataset1_DataItem166,Dataset1_DataItem167,Dataset1_DataItem168,Dataset1_DataItem169,Dataset1_DataItem170,Dataset1_DataItem171,Dataset1_DataItem172,Dataset1_DataItem173,Dataset1_DataItem174,Dataset1_DataItem175,Dataset1_DataItem176,Dataset1_DataItem177,Dataset1_DataItem178,Dataset1_DataItem179,Dataset1_DataItem180,Dataset1_DataItem181,Dataset1_DataItem182,Dataset1_DataItem183,Dataset1_DataItem184,Dataset1_DataItem185,Dataset1_DataItem186,Dataset1_DataItem187,Dataset1_DataItem188,Dataset1_DataItem189,Dataset1_DataItem190,Dataset1_DataItem191,Dataset1_DataItem192,Dataset1_DataItem193,Dataset1_DataItem194,Dataset1_DataItem195,Dataset1_DataItem196,Dataset1_DataItem197,Dataset1_DataItem198,Dataset1_DataItem199,Dataset1_DataItem200
2,1,4,4,5,4,1,5,1,1,2,2,4,1,4,5,1,5,3,3,5,2,1,5,4,5,4,3,5,5,1,1,3,1,2,5,3,3,1,4,2,2,1,5,1,4,1,2,1,1,1,3,3,4,3,1,5,1,4,3,4,4,4,4,4,3,1,2,2,3,4,5,4,3,1,5,5,4,2,5,3,3,2,2,2,2,1,3,1,1,5,3,1,5,3,2,3,3,5,5,2,1,3,5,4,3,4,3,3,1,4,5,5,4,5,4,1,5,5,4,2,1,3,5,5,5,4,1,2,4,3,4,5,4,3,4,5,1,3,4,1,4,4,4,2,1,4,2,5,1,2,4,2,5,2,2,2,1,5,4,5,2,4,3,1,5,5,5,5,2,5,2,2,1,2,4,4,2,3,2,4,3,1,3,3,5,1,2,3,1,4,4,5,1,1,4,2,3,2,1,3
1.9297,4,4,2,4,4,4,2,4,4,2,2,2,4,4,2,2,2,2,4,4,4,2,2,2,2,2,4,1,4,4,4,4,4,2,1,4,4,4,2,4,4,2,4,4,4,2,4,4,4,4,4,4,4,4,4,4,2,2,4,2,1,4,4,4,4,4,4,4,4,2,4,1,2,1,4,4,2,4,2,2,4,4,4,2,1,2,2,1,2,4,4,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,2,1,2,4,4,4,2,4,4,1,4,4,4,4,4,4,4,2,1,2,4,4,1,4,4,2,4,4,4,4,2,2,4,4,4,2,4,2,4,2,4,4,2,2,4,4,4,4,2,4,2,2,2,2,4,2,4,4,4,4,4,4,4,4,4,2,2,4,4,4,4,2,4,4,2,4,4,4,2,4,2,2,4,4,4,4,2,4,2,2,2,4,2,4
1.8663,2,4,5,5,5,4,4,5,4,4,4,5,4,2,5,4,2,5,4,5,4,5,4,4,5,5,2,5,5,5,4,2,4,4,2,5,4,4,5,4,4,5,4,4,4,5,4,4,4,5,5,5,4,5,4,5,5,5,2,2,4,5,5,4,5,5,4,5,5,4,4,4,5,5,5,5,2,4,4,4,2,5,5,2,5,4,4,5,4,4,2,5,4,5,4,2,5,5,5,4,4,5,5,5,5,4,5,4,4,5,5,4,5,4,5,4,5,5,4,4,4,5,4,5,1,4,5,2,2,5,1,2,5,5,5,5,2,4,5,5,5,4,5,4,5,5,5,2,5,5,5,5,4,4,4,4,4,5,4,5,4,4,4,4,4,4,4,4,4,4,4,5,4,5,5,4,4,4,5,5,4,4,4,4,5,5,5,4,4,4,4,5,2,5,4,4,5,5,4,5
1.8663,2,1,2,5,5,1,3,5,3,5,5,2,1,5,5,2,5,3,1,1,1,1,2,5,1,1,1,5,1,1,5,5,3,5,1,5,3,1,2,5,5,1,5,1,5,1,1,1,5,5,5,5,3,5,1,1,5,5,5,3,1,5,3,5,1,1,5,5,5,5,1,5,5,3,1,1,1,5,5,1,5,5,3,5,5,3,3,3,1,5,5,1,3,5,3,5,1,5,1,3,5,3,1,1,5,5,5,5,5,1,5,5,1,5,5,1,5,3,1,5,5,1,5,5,2,5,1,5,5,5,5,5,1,5,5,5,5,3,5,1,1,1,1,5,1,3,1,5,5,3,3,3,5,1,1,1,1,1,1,5,5,1,1,1,5,1,5,1,3,5,1,5,5,5,5,5,5,1,5,5,3,5,3,1,1,1,5,1,1,3,1,5,5,1,5,1,3,1,3,5
1.7828,2,2,2,2,5,3,3,2,3,2,3,5,2,3,5,5,5,2,5,3,5,2,2,3,3,3,2,5,1,3,3,3,3,2,3,2,3,3,5,3,3,3,3,5,3,3,3,2,3,3,5,2,3,2,3,2,3,3,2,3,3,2,3,4,2,3,3,3,5,3,2,3,2,4,5,3,2,3,2,5,3,3,2,3,3,3,2,2,3,5,2,2,5,2,3,3,4,2,3,3,2,3,3,3,3,3,3,3,2,3,3,3,2,5,3,2,3,4,2,3,4,4,3,2,5,3,3,1,5,5,3,3,4,3,2,2,2,3,3,2,2,3,2,2,2,5,5,2,5,2,3,3,2,2,3,2,3,2,3,2,3,5,2,2,5,3,2,3,3,2,2,2,3,3,3,3,2,2,2,3,4,3,5,3,1,2,3,3,3,2,4,5,2,2,3,5,5,3,2,2
1.7556,3,4,1,1,4,5,4,4,4,4,4,1,5,4,1,5,4,5,2,3,3,4,1,1,1,4,4,1,5,5,1,2,1,1,1,2,4,5,4,4,1,1,4,1,1,1,4,4,1,2,4,3,4,4,2,5,1,1,4,5,1,2,4,4,1,1,1,5,4,1,1,4,4,2,1,1,4,4,4,4,1,1,4,1,5,4,1,2,4,1,4,1,4,1,4,4,1,5,1,1,5,2,4,1,1,4,1,4,1,4,1,1,5,2,1,1,1,4,5,1,4,5,1,4,3,2,1,1,2,4,1,2,4,1,1,1,5,4,4,4,1,4,4,1,2,1,4,4,1,1,1,4,1,5,1,4,1,1,4,5,5,4,4,4,4,3,1,4,4,4,1,4,4,2,4,4,1,4,3,4,1,1,4,5,4,1,4,5,1,5,1,1,4,1,1,4,4,1,1,2
1.8076,3,1,5,2,3,5,1,5,4,1,3,2,3,3,2,2,3,3,1,3,2,1,3,1,2,3,1,1,3,3,3,1,3,1,1,3,3,1,1,5,1,3,1,3,3,2,2,3,1,1,2,2,1,1,4,3,2,5,1,1,1,2,1,3,3,1,5,3,1,1,5,3,3,5,4,3,3,1,3,5,2,2,3,3,4,5,3,2,3,3,5,3,2,5,3,5,3,3,4,1,5,5,3,2,1,3,1,3,1,1,3,1,3,4,1,1,1,3,5,2,3,3,1,5,1,3,2,3,1,1,5,3,1,1,1,3,3,1,2,4,1,3,3,1,3,4,1,3,2,5,1,3,2,3,3,3,4,1,1,1,3,3,3,2,2,1,1,1,1,3,3,1,3,3,4,1,3,1,3,3,3,5,5,1,5,1,1,5,3,5,3,3,3,1,2,1,1,1,5,3
1.8917,1,2,5,4,4,1,1,2,2,1,4,2,1,2,4,4,4,1,2,1,4,1,3,4,3,2,1,1,3,5,4,3,4,1,1,2,2,2,2,1,2,1,2,2,1,4,1,2,1,2,4,1,4,2,1,1,1,2,2,1,4,1,2,2,5,1,1,1,2,1,4,1,4,2,1,2,2,3,4,2,2,2,2,1,1,4,1,4,1,2,1,5,3,2,5,2,2,4,2,3,4,3,1,2,4,2,1,2,1,5,2,1,4,1,1,1,3,2,1,3,2,3,1,2,4,1,2,4,4,4,1,4,3,1,1,4,2,1,2,4,2,1,2,1,5,2,1,4,2,1,2,2,3,2,1,2,2,2,2,5,4,2,2,1,2,4,4,1,4,1,1,5,2,1,2,1,1,4,4,1,2,3,4,2,3,1,1,4,5,2,1,4,1,2,1,1,1,2,3,1
1.9185,2,1,3,3,1,2,2,4,2,4,3,3,2,1,3,3,3,4,1,3,3,2,1,3,3,2,1,3,4,1,1,1,4,1,2,2,1,2,5,2,2,3,3,1,1,4,3,3,3,1,2,1,2,1,3,4,2,3,2,1,3,2,2,2,3,3,3,4,1,1,1,2,1,3,3,2,4,1,3,2,2,3,2,1,2,3,3,2,3,3,2,2,2,5,1,3,4,2,1,3,2,1,1,5,3,1,2,2,3,3,2,1,1,2,1,4,3,2,3,1,3,2,2,2,3,3,1,2,2,2,5,2,1,3,5,2,1,2,2,4,2,1,1,1,2,5,1,1,1,2,2,1,2,1,2,5,3,3,3,4,1,1,1,3,2,5,3,1,1,1,1,5,1,5,2,1,3,4,3,3,3,3,2,5,1,3,1,1,1,3,3,1,1,4,1,3,3,3,2,4
1.824,4,1,4,5,5,4,1,3,3,1,4,5,2,4,5,5,1,2,2,3,4,1,4,4,2,2,3,5,5,4,2,1,1,5,3,4,1,4,1,4,4,1,4,4,2,2,1,3,1,3,1,1,3,4,4,4,4,2,4,3,1,4,1,4,2,2,5,5,1,1,4,1,1,2,4,4,1,4,2,5,2,5,5,2,4,2,1,1,1,1,2,2,4,1,4,1,2,5,3,4,4,2,5,2,3,4,2,2,3,2,4,4,2,2,2,2,1,2,4,4,4,1,1,4,1,3,4,1,5,2,1,5,2,2,2,2,1,2,4,1,3,1,4,1,5,1,2,4,1,2,4,5,2,4,1,4,2,2,2,1,4,4,4,5,1,1,4,1,4,5,2,4,4,4,1,2,4,2,5,5,5,3,2,2,4,3,4,2,5,1,1,2,1,4,2,2,5,4,3,4
