, SignalFeature1_D1, SignalFeature2_D1, SignalFeature3_D1, SignalFeature4_D1, SignalFeature5_D1, SignalFeature6_D1, SignalFeature7_D1, SignalFeature8_D1, SignalFeature9_D1, SignalFeature10_D1, SignalFeature11_D1, SignalFeature12_D1, SignalFeature13_D1, SignalFeature14_D1, SignalFeature15_D1, SignalFeature16_D1, SignalFeature17_D1, SignalFeature18_D1, SignalFeature19_D1, SignalFeature20_D1, SignalFeature21_D1, SignalFeature22_D1, SignalFeature23_D1, SignalFeature24_D1, SignalFeature25_D1, SignalFeature26_D1, SignalFeature27_D1, SignalFeature28_D1, SignalFeature29_D1, SignalFeature30_D1, SignalFeature31_D1, SignalFeature32_D1, SignalFeature33_D1, SignalFeature34_D1, SignalFeature35_D1, SignalFeature36_D1, SignalFeature37_D1, SignalFeature38_D1, SignalFeature39_D1, SignalFeature40_D1, SignalFeature41_D1, SignalFeature42_D1, SignalFeature43_D1, SignalFeature44_D1, SignalFeature45_D1, SignalFeature46_D1, SignalFeature47_D1, SignalFeature48_D1, SignalFeature49_D1, SignalFeature50_D1, SignalFeature51_D1, SignalFeature52_D1, SignalFeature53_D1, SignalFeature54_D1, SignalFeature55_D1, SignalFeature56_D1, SignalFeature57_D1, SignalFeature58_D1, SignalFeature59_D1, SignalFeature60_D1, SignalFeature61_D1, SignalFeature62_D1, SignalFeature63_D1, SignalFeature64_D1, SignalFeature65_D1, SignalFeature66_D1, SignalFeature67_D1, SignalFeature68_D1, SignalFeature69_D1, SignalFeature70_D1, SignalFeature71_D1, SignalFeature72_D1, SignalFeature73_D1, SignalFeature74_D1, SignalFeature75_D1, SignalFeature76_D1, SignalFeature77_D1, SignalFeature78_D1, SignalFeature79_D1, SignalFeature80_D1, SignalFeature81_D1, SignalFeature82_D1, SignalFeature83_D1, SignalFeature84_D1, SignalFeature85_D1, SignalFeature86_D1, SignalFeature87_D1, SignalFeature88_D1, SignalFeature89_D1, SignalFeature90_D1, SignalFeature91_D1, SignalFeature92_D1, SignalFeature93_D1, SignalFeature94_D1, SignalFeature95_D1, SignalFeature96_D1, SignalFeature97_D1, SignalFeature98_D1, SignalFeature99_D1, SignalFeature100_D1, NoiseFeature1_D1, NoiseFeature2_D1, NoiseFeature3_D1, NoiseFeature4_D1, NoiseFeature5_D1, NoiseFeature6_D1, NoiseFeature7_D1, NoiseFeature8_D1, NoiseFeature9_D1, NoiseFeature10_D1, NoiseFeature11_D1, NoiseFeature12_D1, NoiseFeature13_D1, NoiseFeature14_D1, NoiseFeature15_D1, NoiseFeature16_D1, NoiseFeature17_D1, NoiseFeature18_D1, NoiseFeature19_D1, NoiseFeature20_D1, NoiseFeature21_D1, NoiseFeature22_D1, NoiseFeature23_D1, NoiseFeature24_D1, NoiseFeature25_D1, NoiseFeature26_D1, NoiseFeature27_D1, NoiseFeature28_D1, NoiseFeature29_D1, NoiseFeature30_D1, NoiseFeature31_D1, NoiseFeature32_D1, NoiseFeature33_D1, NoiseFeature34_D1, NoiseFeature35_D1, NoiseFeature36_D1, NoiseFeature37_D1, NoiseFeature38_D1, NoiseFeature39_D1, NoiseFeature40_D1, NoiseFeature41_D1, NoiseFeature42_D1, NoiseFeature43_D1, NoiseFeature44_D1, NoiseFeature45_D1, NoiseFeature46_D1, NoiseFeature47_D1, NoiseFeature48_D1, NoiseFeature49_D1, NoiseFeature50_D1
DataItem1, -0.9595, -0.82852, -1.1932, -0.47675, -1.2918, -1.9299, -0.9152, -0.36546, 0.47979, -1.4844, -1.5347, -1.3553, -0.93273, -1.0979, -0.87419, -1.736, -2.1881, -0.79503, -2.0709, -1.9341, -0.94364, -3.1805, -1.3234, -1.919, -0.49259, -0.54722, 0.54657, -1.4983, -0.68429, -1.4269, 0.065629, -0.32693, -1.4299, -1.1975, -0.34691, 0.064472, -2.2711, -0.55118, -0.69548, 0.54024, -1.2223, -1.0377, -1.0823, -0.84031, -1.3593, -0.3191, -1.0888, -0.95474, 1.0868, -1.2863, -1.9287, -1.1633, -0.83641, -2.2891, -0.54344, -1.4501, -1.2251, -1.0001, -0.057043, -1.1111, -0.50436, -1.1504, -0.47975, -2.2028, -2.5892, 0.26057, -1.3368, -1.2951, -0.76345, -2.4123, 0.12841, -0.26416, -0.0092325, -0.91867, -1.1872, -0.21614, 1.0349, -1.2275, -0.19548, -1.0044, -1.0223, -1.5858, -1.1363, -1.2658, -0.98592, -0.56976, 0.64637, -0.76282, -0.96761, -0.10848, -0.088315, -2.4239, -1.0663, -1.4171, -1.1971, -1.6008, -1.5014, 0.80283, -1.4785, -1.2213, 0.11719, -1.5465, -0.053279, -1.3746, 0.52008, 0.92188, -0.94341, -1.3932, 1.3685, -0.28983, 0.9598, -0.67144, -0.83334, -1.4299, 1.0499, -1.1464, -0.57546, -0.79372, 0.56482, -0.18557, -1.5075, 1.4394, -0.20572, -0.52421, 0.88476, -0.94946, 1.1679, 0.85052, 0.087335, -1.3584, 1.6148, 2.6484, 1.0877, -1.2325, 0.13836, -0.32922, 1.7945, -0.27495, 1.4859, 0.46197, -0.7864, 0.72765, -1.5713, 1.4933, -1.0379, -0.48051, 1.3411, 1.3351, -0.79929, -0.19084
DataItem2, -0.37914, 1.3732, -0.90304, -2.4306, -2.4577, -0.85464, 0.44079, -0.089248, -1.5775, -2.5803, -1.0069, -2.629, -2.5703, 1.0479, -0.66942, -1.0323, 0.14802, -1.3336, -0.45348, -2.3488, -0.97861, -1.2449, 0.11942, -0.44408, -3.085, -2.1486, -0.52007, -2.3216, -1.6246, -2.7623, -0.94307, -0.33327, -1.4909, -1.2653, -0.4237, -1.0406, -1.1029, -0.36323, -2.6204, -3.8176, -1.2219, -1.0043, -0.65921, -2.559, -0.025054, 0.13882, -2.873, -0.71331, -1.2413, -0.78135, -0.0067384, -0.78562, -1.5734, -0.96051, -1.9216, -2.3429, -0.49251, -1.452, -1.2013, -0.16226, -1.1252, -1.5698, -0.28304, -1.1312, -2.3512, -0.56277, 0.32858, -0.65916, 0.99855, -0.91804, -1.2116, -1.1021, -0.19464, -2.707, -0.63866, -0.01977, -0.34936, -0.48003, 0.82435, 0.28694, -3.0169, -0.81702, 0.12289, -1.0166, -2.6195, -1.5386, -0.40249, 0.20537, -1.0996, -1.4946, -1.0898, -1.652, 0.78036, -2.5044, -0.80908, 0.3095, -1.0528, -1.4049, -1.4754, -2.2604, -0.62025, 0.0082283, -0.50382, 0.21357, -0.61197, 0.63583, -0.26577, -1.5528, -0.12147, 1.4943, -0.36171, 1.1702, 2.3394, -0.12198, 0.77614, 0.2961, 1.7487, -0.97952, 0.58917, -1.4222, -0.64253, -0.14793, 0.60144, 0.36313, -0.67883, 1.0651, -0.33828, 1.384, 1.0867, 0.80443, 0.70155, 1.5245, 1.1318, -0.15181, -0.77146, -0.19547, -2.055, -1.3878, -0.12131, 0.29246, 0.83238, 0.5575, -0.30178, -0.10279, 0.18094, 0.13876, -0.53292, -0.46286, -0.58142, 0.1344
DataItem3, -3.8627, -2.1385, -3.3828, -3.57, -1.9531, -1.3614, -0.58868, -2.3293, -0.75224, -2.4162, -3.416, -0.72375, -3.4472, -2.016, -2.4327, -1.9542, -4.2938, -1.7372, -0.85142, -0.88205, -2.4263, -2.312, -3.0541, -0.79305, -1.2796, -0.53629, -1.5603, -1.5062, -3.4371, -0.77728, -3.6114, -2.5463, -2.933, -2.1077, -2.8123, -1.6782, -1.2234, -1.8354, -1.846, -1.5111, -2.1081, -3.6915, -4.1841, -2.3217, -1.8888, -2.0136, -3.7653, -1.9558, -2.6343, -1.2768, -2.9706, -2.9376, -1.6419, -1.8772, -1.3216, -1.8422, -3.0367, -0.9133, -5.3138, -1.6968, -3.243, -2.2119, -1.9781, -0.72572, -2.3672, 0.49206, -3.0465, -1.8946, -1.4368, -3.8158, -3.2309, -4.2387, -1.9426, -1.7047, -1.9099, 0.3624, -0.75426, -1.032, -2.9907, -1.1961, -2.5065, -3.1093, -2.5107, -3.9907, -4.0535, 0.29673, -3.0175, -1.4354, -0.60083, -3.0621, -2.7682, -1.922, -1.2093, -1.3274, -2.8136, -2.813, -2.0043, -3.8428, -3.7306, -1.528, -1.7481, -0.1384, 0.036779, -0.66557, -0.29915, -0.17959, -0.40901, -0.65046, 0.6917, 0.35374, -0.044195, 1.4294, -1.8568, 0.52956, 1.1427, -0.40391, 1.5223, -1.6055, -1.0744, 0.12263, 2.5371, 0.56901, -0.48969, 0.23495, -0.35722, 0.73798, 0.23316, -1.2862, -0.072015, -0.94203, -0.92803, -0.5947, 1.6504, 1.0597, -2.1761, -0.45177, -0.28145, 2.5475, 0.47388, -0.92246, 0.081633, 0.82907, -0.14572, 1.2773, -0.81008, 0.44257, 1.6453, 0.91046, 0.35897, -0.45847
DataItem4, -0.38243, -0.30961, -3.0895, -1.8448, -0.84209, -3.1373, 0.80262, -1.7797, -3.6953, -0.36854, -0.83721, -3.0639, -3.0933, -1.6002, -2.9046, -1.4218, -1.3167, -2.0309, -2.7835, -1.0851, -2.3251, -2.5515, -1.5482, -1.6785, -0.39033, -0.17772, -3.6327, -2.0067, -3.1544, -0.97851, -2.0577, -1.6676, -3.5739, -0.69032, -2.6656, -0.18938, -3.4052, -1.8808, -2.9378, -0.75724, -2.6047, -0.94568, -4.2115, -0.80786, -1.2097, -1.219, -2.5148, -2.373, -2.4473, -1.0025, -4.8416, -2.5553, -1.9264, -2.7673, -1.0638, -1.9515, -4.1747, -1.1821, -0.88357, -2.5725, -1.7809, -2.8972, -3.0485, -2.1521, -0.72021, -2.2696, -2.3395, -2.1181, -3.0619, -2.2946, -0.55686, -0.99481, -1.8135, -4.0877, -2.5254, -1.948, -0.10371, -1.8727, -2.6212, -3.763, -2.713, -1.3705, -1.3489, -2.6943, -2.038, -1.7677, -1.8224, -1.3559, -2.7503, -2.3513, -2.8328, -2.9, -1.2737, -2.2845, -2.1964, -2.8173, -2.6695, -0.61961, -2.4645, -1.8687, 1.4274, 0.024067, 0.18721, 1.2272, -0.48124, -0.099844, -0.047766, -1.3879, 0.9451, -1.4484, -0.8003, 0.65709, 0.25037, 0.45454, -1.0044, -1.2825, -0.38462, -2.3549, 0.72303, -0.75743, -1.986, -1.3189, -0.036337, 1.5648, 1.006, -0.46914, 0.6413, 1.0137, 0.58128, 0.45177, -0.80504, 0.53473, -1.0967, 0.71906, 0.50108, -0.8975, -1.9029, 0.27007, -1.18, -0.2041, 0.093078, 1.2253, -0.41615, 1.1496, -0.13591, -0.22965, 0.72756, 0.75095, -0.011343, -1.4544
DataItem5, -2.7314, -2.1923, -2.1495, -1.8696, -2.0456, -1.5455, -1.7895, -1.6652, -3.4062, -2.2013, -1.8902, -1.7671, -2.507, -1.5441, -2.2552, -3.7123, -0.748, -1.9271, -1.0857, -2.9872, -1.7817, -2.8212, -1.9324, -2.3898, -1.8253, -2.0877, -1.3709, -3.6937, -2.5247, -3.2952, -0.5589, -2.5525, -2.1856, -1.5626, -2.5949, -1.8613, -0.10192, -2.3876, -0.84123, -3.5107, -2.0703, -3.6506, -2.4135, -0.87632, -2.8887, -1.7208, -2.7065, -2.9743, -1.5796, -2.2332, -2.0592, -2.1583, -2.3599, -2.2293, -0.9034, -1.6486, -2.6288, -1.2441, -2.4117, -1.1993, -1.7294, -1.7784, -2.9103, -2.581, -2.6202, -2.7656, -2.0179, -3.1998, -1.9039, -1.3306, -0.2549, -2.1207, -0.68087, -2.3618, -2.8691, -1.6897, -2.4235, -2.3455, -2.4184, -1.4664, -3.4214, -1.2932, -4.0258, -2.6989, -2.0416, -4.2429, -0.83575, -0.44651, -2.4788, -4.5597, -2.7319, -1.9833, -2.9613, -3.3656, -0.36278, -1.9541, -1.227, -0.82306, -1.3253, -1.7473, 0.25184, 0.32642, 1.9637, 1.4573, -0.81159, 0.53412, 0.43866, -2.0489, -1.5565, -0.43032, 1.0399, 0.78431, 2.4304, -0.16177, 1.5905, 0.96557, -0.92231, -1.8165, 0.066985, -0.039534, -1.7528, -0.73897, -1.5025, 0.9223, -0.2773, 0.32206, 1.0018, -0.34637, -0.7713, -1.2761, 0.059056, -0.4474, -0.06563, 0.41843, 0.57164, 0.25289, -0.74445, 0.87013, 1.2285, -0.072721, 1.0249, -0.0088866, -2.3184, -0.56068, -0.14819, 1.004, 0.013292, -0.10982, 0.83871, 0.35936
DataItem6, 1.3026, 0.51383, 1.8655, 0.93175, -0.72588, 3.0052, 1.6133, 1.6479, 1.3037, 1.1816, 1.7406, 1.3626, 1.9351, 2.6006, 1.6604, 0.89611, 0.63508, 0.43583, 1.815, 0.84273, 0.74419, 1.5962, 0.52674, -0.31524, 0.74714, -0.35607, 0.92886, 1.3626, 2.6514, 1.3247, 2.9089, -0.25709, 1.578, 1.5503, 1.5805, 1.8762, 0.76767, 1.0682, 1.0559, 1.972, 0.34069, 0.62485, 2.1992, 1.895, 2.9919, 1.3558, 2.5393, -0.026255, 0.69008, 0.70507, 0.57718, 1.5751, 2.3217, 1.3658, 0.17374, 0.86665, 1.2869, 3.2386, 0.30895, 0.33616, 0.77227, 0.97808, 1.6016, 2.3771, 2.2217, 2.4373, -0.73764, 0.63693, 2.5856, 0.80493, 0.3825, 1.1971, 1.088, 0.0052279, 2.568, 0.46328, 1.9321, -0.6742, 2.3301, 1.3616, 2.4654, 0.10066, 2.2916, 0.46955, 0.92388, 1.7968, -0.61681, -0.44168, -0.34691, 0.62507, 1.6911, 1.336, 1.8356, -0.18571, 0.2719, 0.3148, 0.10731, 1.899, 0.74168, 0.47038, -1.034, 0.039412, 0.65141, -0.41382, -1.3434, 0.8748, 0.99157, 2.1483, 0.29024, 0.94313, 0.66046, 0.50394, 1.1225, 0.46324, -0.39518, 1.0052, -0.88719, 0.81692, -0.56476, 0.75355, 1.4145, 0.37049, 1.3446, -0.37664, 0.33759, 0.48367, 1.5021, 0.88165, 1.6405, 0.54484, -1.0943, 1.3095, -0.05138, -0.35245, 0.64025, 1.0927, -1.4705, 1.1818, -1.4707, -1.102, -2.2208, -0.55817, -0.31713, -2.7824, 0.8461, -0.20641, -1.5349, -0.49695, 0.81636, 0.55483
DataItem7, 1.0324, -0.92043, 0.83411, -1.3042, -0.98225, -2.277, -0.28868, 2.6301, -0.53579, -0.028403, -2.9412, -1.6602, 0.34899, -1.5132, -1.0449, -1.3094, -1.6503, -2.3043, -0.18186, -0.29231, -0.63441, -1.882, 0.63877, -1.0373, -0.083152, -0.53673, 0.43925, -2.1845, -1.7248, -2.6361, -1.1198, -1.3367, -0.11047, -0.25654, -0.48081, -0.72138, -1.2307, -2.2506, 0.60589, -2.617, 0.12949, -1.6084, -1.3583, -0.13484, -3.6026, 0.51378, -0.38325, -2.6995, -1.0245, -0.48463, -0.65422, -0.76778, -1.2767, -1.7477, -0.75621, -0.61342, 0.36743, -0.56206, -2.1436, -0.43433, -2.413, -1.8651, 0.84412, -1.7593, -0.87079, -0.022063, -1.4209, -1.9524, -0.38311, -1.2191, 0.45276, -1.8172, -0.52884, -1.8902, -1.1622, -0.050138, -0.27457, -0.64289, -2.1566, 0.10659, 2.2465, -0.52413, -1.4195, -0.58525, -0.66954, 1.0705, -0.68508, -1.1929, -1.6173, -1.1759, -1.3274, -0.40026, -1.3886, -3.0605, -0.33333, -2.1422, 0.053289, 0.55395, -0.98169, 0.067307, -0.060453, -1.3186, -0.24113, 0.99095, 0.62592, -0.50594, 2.7062, -0.44589, 0.43516, 0.12492, 1.013, -0.79217, -0.7575, 2.4952, -1.8646, 0.47449, -0.20528, -0.57624, -0.087903, 1.4571, 0.66769, -0.68126, -0.64896, 1.2591, 1.3136, 0.10925, 0.30255, -1.6833, 0.55112, -0.33494, -0.46281, -2.6082, 0.97003, -1.1292, 0.70942, 0.31152, 1.8939, 1.1671, -0.7999, -0.033633, -0.25791, -0.2627, 1.2355, -1.4469, -2.081, 0.43769, 2.6694, -1.0261, -0.77015, 0.83109
DataItem8, -0.36629, 0.75266, -0.42359, 1.2157, 0.19452, 1.9244, 1.0417, 0.50959, 0.65955, 1.4167, 0.69091, 1.9802, 1.7401, 0.60542, 1.5502, 0.46484, 0.86292, 0.71599, -0.42316, 1.4805, 2.5592, -1.6616, 0.97206, 1.9835, 1.9347, 2.3675, 1.2373, 1.9164, -0.36475, 0.9165, 1.6647, 1.0258, -0.5819, 0.57476, 0.63711, 0.37415, 1.9341, 1.7561, 1.3612, 2.4804, -0.22084, 1.1205, 3.8064, 0.5949, 1.4189, 3.0175, 2.5252, 0.1073, 0.70629, -0.25337, 1.2015, 3.2041, 3.3455, 0.36665, 1.2284, -0.0068615, 0.68403, 0.89081, 1.1652, 0.59352, -0.34393, 0.24594, 0.35067, 0.74615, 0.033618, 2.5965, -0.54677, 1.8242, 1.6997, 1.3635, 1.1453, 0.4199, 0.15084, 1.6855, 0.74468, 0.66079, 0.33545, 0.60976, 1.649, 1.3051, 2.4147, 2.1194, 0.10966, -0.18684, 0.90534, 1.1423, 1.6867, 0.71834, 0.78047, 1.7954, 1.1846, 2.1496, 2.2796, 1.34, 1.0159, 0.53052, 2.4989, 0.53547, -0.10982, -0.36174, -0.44448, 0.029637, -0.1639, 0.099946, -1.2372, -1.3024, -0.52534, 1.7246, -0.11558, -1.7576, 0.82883, -0.78957, -0.016656, 0.80749, 0.78203, 1.3, -1.0746, 0.094264, -1.243, 0.39877, -0.43813, -0.16151, -0.38884, -0.60424, 0.63972, -1.6168, 0.8071, -1.2186, -0.48139, 3.0349, -1.7775, 0.52974, 0.35886, 0.13451, -0.45866, 0.97172, -0.60767, -1.1938, -1.4373, 1.3213, -0.20808, -0.66717, -0.71026, -2.2892, -0.42447, 0.27364, -2.2606, -0.19427, -0.77644, 1.0697
DataItem9, 1.5714, 1.2697, 1.0207, 2.0899, 0.56371, 1.442, 1.7523, 1.9988, 2.201, 2.94, 1.3075, 1.0815, 0.034071, 1.8786, -0.57034, 0.718, 1.4665, 1.1493, 1.6019, 1.4906, 0.083148, 0.21232, -0.75418, 3.3132, -0.2776, 3.0721, 1.1726, 3.056, 0.25466, 1.9465, 2.0947, 1.8529, 0.72288, -0.76095, 0.85163, 0.19813, 1.8207, 0.70844, 0.16545, 1.7442, -0.66312, 0.36355, 1.5484, 1.8365, 1.3861, -0.1425, 1.4081, 1.4715, 0.74135, 1.934, 1.9037, 1.185, 1.1041, 3.5744, -0.66986, 0.77922, 1.6159, 3.5064, 1.5043, 1.4897, 1.8722, 2.1574, 1.8083, 0.48979, 1.1419, 0.42195, 0.43898, -0.20575, 2.6732, 0.19522, -0.0075848, -0.31461, 0.98662, 2.4418, 0.17515, 1.0254, 1.4962, 0.92448, 1.2584, 0.21332, 0.78947, 0.70921, -1.7121, -0.78762, 0.064011, 0.7157, 1.2113, 1.4752, 0.81681, 1.1472, 0.39481, 1.6891, 0.60593, 1.0804, -0.087696, 1.039, 0.72408, 1.242, 0.92526, 0.68077, 0.7115, 0.46543, 0.40404, -0.54176, -0.49785, 0.59699, -0.60714, 0.79517, -1.0451, -0.90677, 0.21974, -1.4018, -0.28972, 0.73504, 0.031019, -0.60282, -0.63859, 1.6559, -1.7902, -0.33411, 0.90643, -1.3876, -0.44898, 1.1544, -0.87137, 0.90067, -0.82849, -0.33305, -0.051171, -2.0792, 1.6381, 0.12026, 0.52164, 1.5574, -0.18161, -0.38098, -0.75367, 0.5304, 0.51477, -0.40517, -0.99953, -1.0735, -0.18566, 0.53449, -3.331, 1.9107, -0.21838, -0.9563, 1.1446, 0.82332
DataItem10, -2.8181, -0.10601, -1.0756, -0.84716, 0.12078, -0.31258, -0.18872, -2.0496, -1.2171, 0.03365, -0.56014, -0.95735, -1.0088, -0.069416, 0.10957, -2.6638, -0.41955, -1.9264, -0.0025389, 0.59073, -1.9926, -1.9505, -1.5465, -1.2831, -0.58227, -2.1762, 0.050967, -1.6821, -0.10273, -1.1846, -0.056269, 0.0032595, -0.87216, 0.41284, -0.48148, -3.2855, -2.5654, -1.0726, 0.086558, -1.6519, -2.3118, 0.90133, 0.90064, -1.7711, -0.65069, -1.8238, -2.3062, -0.53395, -2.2916, -0.3177, -2.7227, 0.8563, -1.0377, -0.57759, -0.90085, 0.42954, -0.70113, -2.2494, 1.3675, -1.0236, 0.48847, -1.2966, -1.3978, -1.3405, -0.7572, -3.0211, -0.52809, -1.2694, -0.41838, -0.62822, -2.0521, -1.4283, -0.96427, -0.94636, -0.47362, -1.3688, -2.8341, -1.3908, -0.6017, -0.91875, -2.1982, -2.7603, -2.6429, -0.038859, -0.55455, -1.9598, -0.64157, -0.43788, -1.1456, -1.4989, -0.1313, -1.2647, -1.0696, -0.13278, -0.42875, -1.3396, 0.27338, -2.2481, -1.6196, -1.079, -0.29497, -0.47394, -0.58609, -0.99916, -1.6351, 0.13178, 0.56225, -1.6339, -0.19769, 0.56901, -0.41618, 0.79769, 0.76801, 0.079853, 0.14381, -1.4553, -0.83736, -0.5923, -1.1838, 1.4795, -0.1387, -0.53532, 0.52864, 0.46506, 0.80263, 0.16343, 0.51029, -0.11585, 0.55551, 1.0355, 1.3251, -0.41393, 1.2052, 2.5683, 0.70473, -0.072267, -1.3487, -0.93348, 0.91312, -0.13597, -1.227, -0.55857, 1.407, -1.3455, -0.415, -1.7123, 0.41498, -1.1913, 0.53609, 0.015445
