, SignalFeature1_D1, SignalFeature2_D1, SignalFeature3_D1, SignalFeature4_D1, SignalFeature5_D1, SignalFeature6_D1, SignalFeature7_D1, SignalFeature8_D1, SignalFeature9_D1, SignalFeature10_D1, SignalFeature11_D1, SignalFeature12_D1, SignalFeature13_D1, SignalFeature14_D1, SignalFeature15_D1, SignalFeature16_D1, SignalFeature17_D1, SignalFeature18_D1, SignalFeature19_D1, SignalFeature20_D1, SignalFeature21_D1, SignalFeature22_D1, SignalFeature23_D1, SignalFeature24_D1, SignalFeature25_D1, SignalFeature26_D1, SignalFeature27_D1, SignalFeature28_D1, SignalFeature29_D1, SignalFeature30_D1, SignalFeature31_D1, SignalFeature32_D1, SignalFeature33_D1, SignalFeature34_D1, SignalFeature35_D1, SignalFeature36_D1, SignalFeature37_D1, SignalFeature38_D1, SignalFeature39_D1, SignalFeature40_D1, SignalFeature41_D1, SignalFeature42_D1, SignalFeature43_D1, SignalFeature44_D1, SignalFeature45_D1, SignalFeature46_D1, SignalFeature47_D1, SignalFeature48_D1, SignalFeature49_D1, SignalFeature50_D1, SignalFeature51_D1, SignalFeature52_D1, SignalFeature53_D1, SignalFeature54_D1, SignalFeature55_D1, SignalFeature56_D1, SignalFeature57_D1, SignalFeature58_D1, SignalFeature59_D1, SignalFeature60_D1, SignalFeature61_D1, SignalFeature62_D1, SignalFeature63_D1, SignalFeature64_D1, SignalFeature65_D1, SignalFeature66_D1, SignalFeature67_D1, SignalFeature68_D1, SignalFeature69_D1, SignalFeature70_D1, SignalFeature71_D1, SignalFeature72_D1, SignalFeature73_D1, SignalFeature74_D1, SignalFeature75_D1, SignalFeature76_D1, SignalFeature77_D1, SignalFeature78_D1, SignalFeature79_D1, SignalFeature80_D1, SignalFeature81_D1, SignalFeature82_D1, SignalFeature83_D1, SignalFeature84_D1, SignalFeature85_D1, SignalFeature86_D1, SignalFeature87_D1, SignalFeature88_D1, SignalFeature89_D1, SignalFeature90_D1, SignalFeature91_D1, SignalFeature92_D1, SignalFeature93_D1, SignalFeature94_D1, SignalFeature95_D1, SignalFeature96_D1, SignalFeature97_D1, SignalFeature98_D1, SignalFeature99_D1, SignalFeature100_D1, NoiseFeature1_D1, NoiseFeature2_D1, NoiseFeature3_D1, NoiseFeature4_D1, NoiseFeature5_D1, NoiseFeature6_D1, NoiseFeature7_D1, NoiseFeature8_D1, NoiseFeature9_D1, NoiseFeature10_D1, NoiseFeature11_D1, NoiseFeature12_D1, NoiseFeature13_D1, NoiseFeature14_D1, NoiseFeature15_D1, NoiseFeature16_D1, NoiseFeature17_D1, NoiseFeature18_D1, NoiseFeature19_D1, NoiseFeature20_D1, NoiseFeature21_D1, NoiseFeature22_D1, NoiseFeature23_D1, NoiseFeature24_D1, NoiseFeature25_D1, NoiseFeature26_D1, NoiseFeature27_D1, NoiseFeature28_D1, NoiseFeature29_D1, NoiseFeature30_D1, NoiseFeature31_D1, NoiseFeature32_D1, NoiseFeature33_D1, NoiseFeature34_D1, NoiseFeature35_D1, NoiseFeature36_D1, NoiseFeature37_D1, NoiseFeature38_D1, NoiseFeature39_D1, NoiseFeature40_D1, NoiseFeature41_D1, NoiseFeature42_D1, NoiseFeature43_D1, NoiseFeature44_D1, NoiseFeature45_D1, NoiseFeature46_D1, NoiseFeature47_D1, NoiseFeature48_D1, NoiseFeature49_D1, NoiseFeature50_D1
DataItem1, 0.054896, -1.927, -0.70468, 0.36665, 0.84318, 0.62817, -1.1247, -1.1409, 0.86159, -0.77076, 0.51002, 0.13758, 1.4361, -1.0361, -1.2008, -0.88071, 0.52162, -0.59849, 1.4275, 0.091663, -0.18207, -0.74833, 1.21, 0.54158, -0.24551, -0.36778, -0.86343, 1.5661, 0.0021056, 0.07059, 1.2885, -0.71105, -0.29941, -1.885, -1.3064, -0.4617, 0.14131, 0.42754, -0.50869, 0.22479, -1.1646, 1.0705, -0.86428, -0.29094, 0.57946, -1.1062, 0.40384, 0.10376, -0.047252, -0.52643, -0.002043, -0.0897, -0.47407, -0.19754, 0.03078, -1.679, 1.4994, -0.4871, 0.98155, 0.29325, -0.68926, 1.1318, 0.80362, 0.84495, -1.6936, 1.3127, 0.13062, -1.0939, 1.2961, -0.14895, -0.29441, -0.55128, 0.41212, -0.92379, 0.95258, -0.58891, 0.58471, -0.006515, 0.81529, 0.16747, -0.1078, 0.20879, -0.34628, -0.88712, 0.49857, 1.5632, -1.129, 0.035016, 1.6798, -0.64646, 0.75595, 1.5427, -1.2363, -1.6684, 0.038463, 0.39473, 0.57751, 0.89292, -1.6234, -0.1084, 0.15839, -1.9099, -0.41729, 1.5222, -1.1182, -1.0371, 0.31218, -1.4829, 1.3006, 2.0824, 0.42032, 0.61732, -0.35768, 0.71577, 0.18521, 0.79159, 1.0771, 0.84689, -0.14088, 1.1676, 0.50158, 0.45366, 0.75562, -0.82026, 0.57154, 0.70824, 0.74247, 0.17377, 1.3209, -1.309, -0.57125, -0.80449, -0.44022, -2.1024, -0.32552, -0.40426, -0.25242, 0.805, 0.03303, 0.86853, -0.88416, -0.76569, 0.078095, 2.979, 0.86986, -2.0434, 1.2284, 1.258, 2.1583, 0.044199
DataItem2, 0.25242, 2.885, 0.06431, 1.9356, -1.1566, 1.4069, -0.74184, -0.73822, -0.19842, -0.84144, 0.53516, 0.86485, -0.747, 0.27329, 0.27079, 0.23958, -0.9233, -0.60232, -2.1204, 0.45113, -0.26287, -1.0929, 0.70348, -0.60469, -0.12886, 0.92907, -1.2608, -1.3178, 0.52486, 0.022533, -1.6123, 0.6472, 0.233, -2.0988, -0.37282, -0.83326, -0.40502, 1.0398, -0.29098, -0.90579, -0.50207, 0.43031, -0.46977, -1.0645, -1.6713, -1.3567, -1.508, -1.2526, -1.1188, 0.1161, 1.0283, 0.7194, -0.83993, 0.65371, 0.15653, -0.46407, -0.86613, 0.5439, 1.0444, 0.1499, -0.0011878, 1.2599, -0.0089013, -0.92475, -0.49992, 1.0593, 1.5104, 0.045329, -0.061886, 0.1484, 2.5856, 0.82324, 1.0006, 0.72581, -0.60995, 0.63094, 0.1613, -0.62803, -0.71746, -0.21603, 1.3116, 0.37645, -1.1444, -0.97413, -0.34275, -0.18924, 1.0076, -0.086942, 0.48206, -0.011017, -0.51493, 2.2824, -1.1844, -1.7399, -1.4321, 0.26665, 1.1094, 0.10495, -0.6038, 0.31135, 1.7854, -0.042144, 0.35452, -2.4865, 0.69749, -0.41355, -0.47732, 1.8597, -0.49097, -0.57487, -1.4458, 0.64215, -0.11343, -0.20421, 0.25936, -1.4847, 0.49882, -0.31163, 0.33313, -0.89927, -1.2687, 0.37362, 0.75281, -0.68144, 0.22603, -0.86131, 1.8979, -0.25386, -0.71876, 1.8647, -0.65692, -0.18744, -0.26321, -0.51913, -0.5765, 1.5732, -1.5676, 0.26696, 1.1926, -0.84478, 0.46359, 1.8047, -0.21278, -1.4111, -0.51212, -0.75867, 0.42206, 1.218, 0.99221, -0.17419
DataItem3, 9.2053, 8.2313, 10.266, 11.5545, 11.012, 9.4403, 7.6263, 8.4898, 10.1896, 11.2232, 9.5435, 10.0993, 9.7136, 9.7094, 10.8723, 10.0632, 10.2205, 10.8755, 10.2294, 10.302, 10.76, 10.5929, 9.2427, 9.5726, 10.8022, 8.8292, 9.7036, 10.657, 9.1014, 10.246, 8.8081, 10.0207, 10.6326, 9.1979, 8.7961, 9.6715, 9.7414, 10.5182, 10.8653, 10.6265, 9.0387, 11.3315, 9.86, 9.7327, 11.49, 8.2181, 11.0227, 10.885, 9.3579, 11.1349, 12.3434, 11.61, 9.8163, 8.5737, 10.4845, 8.815, 9.5674, 10.9106, 11.2591, 8.9013, 9.9907, 10.3146, 8.6279, 9.7226, 9.2443, 9.0618, 10.1199, 10.9676, 10.9737, 10.7661, 8.5988, 8.9482, 8.639, 10.0841, 10.2527, 10.705, 8.9272, 8.4914, 10.6717, 10.0399, 9.8181, 9.5164, 11.3978, 10.6338, 9.6236, 9.9336, 9.6157, 10.3882, 10.2916, 10.4454, 10.4871, 10.1166, 10.4008, 9.3057, 10.7402, 9.6155, 10.0323, 11.8393, 11.019, 8.8222, 1.6177, 1.3198, -0.054739, 1.4983, -1.0553, -0.58481, -0.45564, 0.24331, 0.092566, -0.71781, -2.218, 0.59669, -0.0099856, 1.7809, -1.222, -1.2813, -0.5017, 0.67227, -0.49341, 1.1381, -1.8062, 0.5697, 2.2356, 1.2878, 0.67097, -0.6979, -0.89447, 0.39226, -1.376, -1.0855, 0.74801, -0.9161, 0.097153, -0.96244, 1.7725, 1.8164, -0.33216, -1.0505, -0.052992, 1.5425, -0.86784, -0.58852, -0.24984, 0.53743, -0.049254, 0.31131, 1.4433, 0.96016, 0.92906, 0.091978
DataItem4, -9.2283, -8.8516, -10.1717, -9.3679, -9.7622, -11.1954, -10.6345, -9.3614, -10.6998, -10.9403, -10.2825, -11.6266, -10.4391, -9.8816, -9.0485, -10.1576, -10.2128, -9.4494, -10.4695, -10.2654, -10.6826, -10.0674, -7.9376, -9.4206, -8.9525, -10.3066, -10.2435, -9.1776, -9.9803, -10.6712, -11.777, -10.9803, -8.896, -7.7164, -9.9366, -9.9057, -10.1967, -9.828, -10.028, -11.6878, -9.0789, -11.7177, -9.3179, -7.9015, -8.1561, -8.1865, -11.5115, -10.5049, -11.2241, -11.1689, -10.211, -9.9057, -8.5881, -9.5628, -9.6081, -9.8723, -7.7138, -10.2527, -11.3753, -10.3795, -9.8193, -11.9221, -9.9123, -10.4827, -10.7526, -10.6255, -10.2213, -9.8067, -9.7421, -9.5945, -10.61, -10.2667, -9.8947, -10.8908, -8.8804, -9.1928, -9.7762, -8.321, -9.9884, -10.244, -10.3716, -10.7519, -9.9916, -11.0641, -9.7748, -9.5341, -10.84, -10.2244, -8.3988, -12.5552, -9.9778, -11.397, -10.155, -8.4913, -9.5184, -10.651, -10.3654, -8.7824, -9.4945, -11.7522, 0.089641, -0.59974, -1.8063, -1.5548, 0.30358, 0.89676, -0.28432, -1.0337, 0.45125, -1.5137, -1.235, 2.1873, -1.395, -1.0382, -0.61206, 0.09191, -1.2882, -0.20998, -0.60193, -0.029293, -1.4591, 1.1112, -0.63935, 0.076886, -0.33924, -1.0662, -1.234, -0.77839, -0.65724, 1.9885, 0.05107, -1.2606, 0.50568, 1.2967, 0.20353, -0.77867, 0.26776, -0.95302, 1.6082, 0.7371, -0.016585, 0.097494, -0.20252, 1.4375, 0.26535, 0.33514, 0.9095, -1.7166, 0.43893, 1.6564
DataItem5, 0.1377, -0.13054, 0.39463, -0.25605, 0.090486, -0.11475, 0.18207, 0.68224, -1.6205, -0.26085, 0.45177, 1.0535, -0.15485, -0.14173, -0.68399, -0.39316, -0.33732, 1.3215, -0.084444, -1.39, -1.4819, 0.59157, -0.056897, 1.5835, -0.79485, -0.13649, -0.9627, 0.14483, 0.26812, -0.15373, 0.046485, -1.7548, -0.030798, -0.58572, -1.0253, 0.0015865, 0.68735, 1.7484, 0.82453, -2.6453, 0.30443, -0.11271, -0.26018, -0.32148, 1.4624, -1.0972, -0.76145, -0.72706, -0.57874, -0.97115, 1.1877, 0.99248, 0.91656, 1.9454, 1.3764, -0.65462, -0.18319, 0.005318, 0.35774, -1.1817, -0.11955, 1.6385, -1.094, -0.51698, 1.3554, -0.60871, 2.5369, 0.17986, 1.1096, 1.6279, -0.69779, -0.59966, -0.73303, 1.506, 0.56865, 0.98923, -0.56148, 0.34973, -1.0222, 0.41751, -0.9295, 0.31601, -2.2196, 1.5683, 0.57524, -0.32039, -0.94509, 0.092282, 1.2967, -0.1762, 1.3726, 0.15627, 1.202, -0.55957, 0.66828, -2.1004, 0.32617, 1.3195, -0.651, -0.37396, -0.532, -1.1065, -1.9409, -0.051777, 0.077418, -0.93598, 0.50889, -1.0523, 0.13661, 0.93621, 1.1217, -0.4376, 0.95896, -0.97635, 0.3611, -1.5214, 2.6143, 1.3091, -0.86947, 0.32405, 1.5875, 1.3828, -0.74908, 0.028151, -1.8506, -0.070274, -0.50426, 1.3493, -0.15952, -0.078184, -0.53408, -0.65914, 0.71891, 0.24409, -0.80089, 1.2685, -0.60405, 0.97893, 0.83337, -0.092387, -0.6116, 1.9502, -0.54319, -0.71946, -0.55219, -0.26015, -0.27783, -1.1808, -0.7617, 0.34137
DataItem6, -8.9277, -10.9725, -8.7798, -8.7106, -11.259, -9.3795, -9.9167, -9.4687, -11.2758, -9.9014, -10.0568, -9.403, -10.0709, -9.355, -10.642, -10.4079, -10.2272, -9.0187, -9.639, -9.4128, -10.0618, -11.1584, -9.9931, -9.8217, -10.4119, -9.4372, -9.6903, -9.7033, -8.0186, -7.773, -9.9212, -10.4826, -9.4726, -11.6441, -10.8361, -10.9169, -10.0146, -9.4914, -10.2097, -11.1665, -11.3345, -9.5206, -9.8063, -10.8668, -10.7604, -10.8189, -8.6291, -11.8763, -11.7407, -9.5434, -10.2427, -10.533, -8.3478, -13.2063, -10.9391, -9.9176, -8.5531, -9.6929, -9.3202, -9.5119, -11.2341, -10.226, -11.6435, -9.8606, -12.1234, -10.3308, -11.0439, -12.2613, -10.4467, -11.4199, -11.0593, -11.1037, -9.1323, -8.5848, -9.3428, -9.5475, -10.1061, -7.7051, -10.2601, -10.8998, -11.378, -9.0407, -10.245, -10.427, -9.8953, -10.2862, -11.4377, -9.6668, -10.4541, -8.7264, -10.2023, -10.3774, -7.8696, -10.6151, -8.0579, -10.233, -9.6071, -9.4981, -10.4337, -11.5338, 1.0028, -0.050335, -0.39952, -0.13064, 1.2697, -0.82107, 0.90477, -1.9723, 0.22933, -0.23779, -1.6332, 1.7199, 2.2833, 0.63337, 0.60161, -0.33178, 0.74688, -0.93618, -1.1972, 0.15091, 2.8883, 1.1499, 0.71968, -0.50786, 0.55581, -0.99998, -1.7776, -0.81634, 0.029899, 0.62169, -2.2765, 0.189, -1.2168, -0.83324, -1.1464, -0.73074, -0.43695, -0.2924, -0.19146, 1.6337, -0.32045, 1.301, -1.4198, -0.95321, -0.45514, -1.6435, 0.66495, -0.43031, 1.5017, 0.76453
DataItem7, -0.41151, -0.40488, 1.0496, -1.8492, -1.6673, 0.17279, -0.1725, 1.6608, -2.5798, 2.1251, -1.3299, 1.144, -2.0711, -0.31236, 1.1517, 1.8597, 1.055, 0.51997, 1.4567, -0.41788, 0.64039, 0.27722, -0.18817, -0.56754, -0.62022, -1.0492, -0.1589, -1.1894, 1.6679, 0.43735, 0.42425, -0.058247, -0.6856, -0.83225, 1.389, 0.45426, -0.28025, -0.72544, -0.62387, -1.4244, -0.87487, 0.42878, -0.90662, 1.4278, -0.07774, -0.44627, -0.16668, 1.4849, -0.6126, -0.21971, -0.42045, 0.6257, -1.4702, -0.13023, -0.31201, -1.8844, -0.10065, -1.254, -0.080897, 1.1462, 0.92143, -0.057508, 0.021327, 1.4651, -0.67114, -1.903, 0.49078, -0.88736, -0.6341, 0.25166, 0.05411, -0.31583, -0.11731, 0.90176, 1.1177, 0.54122, 0.19195, -0.26871, 2.5799, -0.26518, -1.0212, 0.9896, -0.50269, 0.43471, 0.18499, -1.5206, -0.96937, -0.40416, -0.85824, 0.19601, -0.30551, 0.33938, -1.2098, 0.2909, -0.77488, -1.1076, -1.3448, -0.89283, -1.2294, -1.029, -0.82049, -0.70604, -0.031378, 0.54, -0.82299, 1.2367, -0.35035, 1.1838, 1.139, 0.043192, -0.66585, -0.34923, -0.4812, 0.035127, -1.4797, -0.10993, -0.52515, -1.089, 1.1151, 1.1231, 0.96061, -1.1296, -0.5535, 0.67124, 0.39363, -0.71132, 0.0068047, -0.15302, 0.47916, 0.58203, 0.6982, -0.6924, -0.42692, 0.39799, -0.62811, 0.45747, 0.8372, 1.1536, -1.2757, -1.5638, 0.86251, 0.28705, -0.28756, -1.4694, -0.80699, -0.8523, -0.66718, -0.28551, 0.88746, 0.18675
DataItem8, -8.7634, -12.9819, -9.7638, -8.8481, -9.0476, -10.8627, -9.7107, -10.1551, -11.084, -8.9076, -12.2206, -11.2728, -9.581, -10.7718, -11.2772, -10.1493, -9.8894, -9.9017, -8.757, -10.7257, -11.0578, -10.8454, -9.3423, -10.9781, -9.8463, -9.7122, -9.9305, -9.0864, -8.7478, -9.2624, -9.5107, -9.8445, -10.484, -12.5187, -10.9418, -10.4567, -11.9816, -10.0104, -10.6485, -10.8478, -10.3625, -9.3071, -10.9372, -9.9505, -10.0442, -10.0169, -10.4664, -10.5579, -9.4755, -9.9553, -10.968, -11.0594, -10.2149, -8.8828, -8.9277, -10.6354, -11.2848, -9.7373, -12.0029, -10.2314, -10.1398, -10.6818, -12.2734, -10.4618, -10.2263, -10.218, -11.2625, -10.1913, -9.7561, -10.2149, -9.2986, -11.1395, -8.8133, -11.1813, -9.9396, -10.5438, -9.4235, -10.3225, -10.625, -10.639, -11.2648, -9.4872, -10.2075, -10.6068, -9.7879, -10.7331, -9.31, -9.8209, -10.2716, -9.0897, -9.4584, -9.9865, -9.9526, -10.5338, -9.7897, -8.3013, -10.5427, -10.1892, -11.392, -9.838, -1.3172, -0.46095, 1.9202, 0.41051, -0.46511, -0.66394, -0.50558, 3.0741, 1.0614, -0.44648, -0.24345, -0.63585, -0.94703, -1.3613, -0.010424, 0.4399, -0.349, 1.0198, -0.090064, 0.91238, -0.3501, 0.25653, -2.5535, -0.89496, 1.0873, -0.077615, 1.371, -1.2127, 0.29295, 1.2852, -0.63347, -0.21121, -0.90797, -1.1538, 1.1261, 1.0094, -0.50677, -1.2714, 0.86063, 1.1969, -0.82455, 0.89139, -1.3667, 0.6052, -0.88635, -0.060164, 1.5621, -0.33728, 0.13362, -0.046793
DataItem9, 12.1263, 8.9639, 7.9763, 10.253, 11.1032, 9.7376, 8.5188, 8.7012, 9.7969, 9.9459, 9.7507, 10.6582, 9.3919, 10.4323, 10.7595, 9.9708, 10.0355, 10.005, 10.6481, 9.2859, 9.814, 9.6419, 8.2254, 9.9478, 10.5253, 7.6243, 8.0147, 8.8693, 9.0503, 9.4619, 8.8495, 11.3134, 7.7468, 10.9853, 9.613, 10.1504, 10.2804, 9.6966, 10.7804, 9.0211, 11.3228, 9.4178, 9.5421, 12.0346, 10.0504, 7.989, 11.6477, 11.3133, 9.9824, 10.8933, 9.3362, 11.4076, 9.2674, 8.6034, 11.6337, 9.3351, 10.0439, 10.315, 10.9547, 9.6525, 10.3165, 9.4046, 8.5527, 10.5293, 9.2268, 9.7245, 10.6461, 12.5135, 9.4938, 10.4249, 10.5949, 11.0048, 9.2675, 9.3868, 9.6931, 9.5437, 8.5419, 9.9707, 9.2128, 9.7683, 10.4405, 11.7507, 10.6476, 8.7344, 10.506, 12.2336, 9.7667, 8.4208, 11.7236, 13.095, 11.0324, 10.6899, 8.9509, 9.475, 9.4211, 10.3841, 10.3477, 10.014, 9.3362, 9.9768, -0.40798, 0.086079, 0.60551, 0.090225, -1.2945, -3.1409, -0.8844, -0.51161, 0.02487, 0.088654, -1.1495, -0.47622, 0.49956, -0.57118, 0.69315, -0.071809, 0.11374, -0.52974, 0.72107, -0.12658, 0.2664, 1.768, -0.24385, 0.90879, -1.2027, 1.8657, 0.92143, -0.73939, 0.90439, 0.063325, -1.1497, 0.15315, -0.64495, 1.4536, 1.1263, -1.5818, -0.059279, 0.32577, -0.078735, -0.57415, 0.45886, -1.1741, -1.1319, 0.47381, -1.2624, -0.72017, -1.0405, 0.14586, -2.297, 0.4784
DataItem10, 11.9706, 10.7321, 11.8798, 9.7229, 10.4311, 8.2921, 10.3066, 10.1609, 9.0958, 9.306, 10.5677, 10.1629, 9.575, 10.3205, 8.6629, 10.0601, 11.3002, 8.7054, 11.043, 9.3628, 11.375, 10.4199, 10.3658, 11.1776, 7.7434, 9.7496, 10.1943, 9.0744, 10.0412, 9.4903, 10.7953, 9.8318, 9.859, 9.8251, 8.4001, 11.6576, 10.2472, 12.0845, 11.846, 10.7745, 10.1291, 9.0073, 10.7377, 9.9224, 9.9006, 9.9868, 9.1074, 10.7294, 9.6902, 10.8474, 9.8809, 9.6521, 8.7407, 10.2022, 9.348, 11.5074, 6.932, 9.6314, 11.3548, 9.5855, 11.0296, 10.4401, 10.2095, 9.9787, 10.2423, 7.8737, 11.2362, 9.1608, 9.0436, 10.3784, 10.4181, 10.8193, 8.853, 12.1139, 12.1501, 9.754, 9.7139, 8.9432, 7.287, 10.9367, 9.1107, 8.8044, 12.5522, 8.3787, 7.2817, 8.9851, 10.7326, 10.1153, 10.3495, 9.526, 9.5454, 10.1053, 8.6402, 9.9869, 10.1808, 10.0877, 10.0974, 10.1144, 9.469, 10.3058, -0.10747, 0.21567, -0.12626, -0.096729, 0.064209, 0.48024, -1.3862, -1.5948, 0.30165, -2.0639, 1.1769, 3.0224, -0.13767, -1.0036, -0.13037, -0.3085, -1.8154, -0.4362, -1.1818, 0.069897, 0.61884, 1.8269, 0.082075, 0.35257, -0.26994, -1.429, -0.68278, 0.20168, 1.3469, -0.061484, 0.33869, -0.26319, 1.0018, -1.0312, -0.32418, 0.053388, 1.5001, -0.31377, -0.11716, 0.81574, -2.6966, -0.52779, 0.87543, -0.58459, 0.84315, 0.60057, 0.81409, 0.11869, 0.048688, -0.12497
